道具ID,名称,类别,取得位置,使用热点,用途,消耗规则,归还/归档,备注
ITM-G13-001,十二星数据片,工具/证据/材料,HOS-G13-001,HS-G13-0003,服务于跨章节依赖、文明唤醒、历史真相、人工维修和结局责任相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G13-002,依赖连接线,工具/证据/材料,HOS-G13-001,HS-G13-0006,服务于跨章节依赖、文明唤醒、历史真相、人工维修和结局责任相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G13-003,文明样本卡,工具/证据/材料,HOS-G13-001,HS-G13-0009,服务于跨章节依赖、文明唤醒、历史真相、人工维修和结局责任相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G13-004,环境阈值牌,工具/证据/材料,HOS-G13-002,HS-G13-0012,服务于跨章节依赖、文明唤醒、历史真相、人工维修和结局责任相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G13-005,批次时间片,工具/证据/材料,HOS-G13-002,HS-G13-0015,服务于跨章节依赖、文明唤醒、历史真相、人工维修和结局责任相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G13-006,历史档案碎片,工具/证据/材料,HOS-G13-002,HS-G13-0018,服务于跨章节依赖、文明唤醒、历史真相、人工维修和结局责任相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G13-007,来源印记,工具/证据/材料,HOS-G13-003,HS-G13-0021,服务于跨章节依赖、文明唤醒、历史真相、人工维修和结局责任相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G13-008,小扳手,工具/证据/材料,HOS-G13-003,HS-G13-0024,服务于跨章节依赖、文明唤醒、历史真相、人工维修和结局责任相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G13-009,旧式螺母,工具/证据/材料,HOS-G13-003,HS-G13-0027,服务于跨章节依赖、文明唤醒、历史真相、人工维修和结局责任相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G13-010,力度刻度片,工具/证据/材料,HOS-G13-004,HS-G13-0030,服务于跨章节依赖、文明唤醒、历史真相、人工维修和结局责任相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G13-011,结局方案册,工具/证据/材料,SCN-G13-02,HS-G13-0033,服务于跨章节依赖、文明唤醒、历史真相、人工维修和结局责任相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G13-012,零号权限钥,工具/证据/材料,SCN-G13-03,HS-G13-0036,服务于跨章节依赖、文明唤醒、历史真相、人工维修和结局责任相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
