对话ID,场景ID,说话者,台词,类型,触发条件,跳过规则,关联
DLG-G13-0001,SCN-G13-00,七码,十二颗星核都在回应。第一次不是我误把回声算成了十三颗。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G13-0002,SCN-G13-01,星宇,先确认依赖，别让最后一次修复覆盖前面的记录。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G13-0003,SCN-G13-02,文明样本代表,唤醒不是打开开关。环境、能源和知识都要先准备。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G13-0004,SCN-G13-03,七码,历史档案存在七个版本。建议全部保留，尤其是互相矛盾的部分。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G13-0005,SCN-G13-04,星宇,真相不是选一个最完整的故事，是把来源、缺口和责任都留下。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G13-0006,SCN-G13-05,零号管理员,自动方案可消除不一致。确认覆盖历史层。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G13-0007,SCN-G13-06,星宇,拒绝覆盖。旧核心用旧方法修，历史由人来承担。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G13-0008,SCN-G13-07,零号管理员,最终权限开放。结局由已验证事实与玩家选择共同决定。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G13-0009,SCN-G13-08,文明样本代表,文明样本代表：关于“结局选择”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G13-0010,SCN-G13-09,零号管理员,零号管理员：关于“全章回顾”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G13-0011,SCN-G13-00,星宇,星宇：关于“回到零号地球”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G13-0012,SCN-G13-01,七码,七码：关于“十二星数据环”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G13-0013,SCN-G13-02,十二星管理员记录,十二星管理员记录：关于“文明样本库”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G13-0014,SCN-G13-03,文明样本代表,文明样本代表：关于“唤醒批次”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G13-0015,SCN-G13-04,零号管理员,星宇尝试直接自动修复旧核心，覆盖了历史层；系统自动回退并要求保留原始结构，最终必须手动维修。,场景/系统,状态变化时,可跳过已读,无
DLG-G13-0016,SCN-G13-05,星宇,星宇：关于“真相拼合”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G13-0017,SCN-G13-06,七码,七码：关于“旧核心手动维修”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G13-0018,SCN-G13-07,十二星管理员记录,十二星管理员记录：关于“最终权限解除”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G13-0019,SCN-G13-08,文明样本代表,零号管理员的权限节点已完成一项，正确进度被独立保存。,场景/系统,状态变化时,可跳过已读,无
DLG-G13-0020,SCN-G13-09,零号管理员,零号管理员：关于“全章回顾”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G13-0021,SCN-G13-00,星宇,星宇：关于“回到零号地球”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G13-0022,SCN-G13-01,七码,七码：关于“十二星数据环”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G13-0023,SCN-G13-02,十二星管理员记录,星宇：本章的结论不是一个答案，而是一套能被检查和修正的方法。,场景/系统,状态变化时,可跳过已读,无
DLG-G13-0024,SCN-G13-03,文明样本代表,文明样本代表：关于“唤醒批次”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
