变量ID,变量名,类型,默认值,写入条件,持久性,约束
VAR-G13-001,g13_intro_done,bool,false,首场景完成,保存,无
VAR-G13-002,g13_mech_1_done,bool,false,十二星数据闭环完成,保存,权限条件
VAR-G13-003,g13_mech_2_done,bool,false,文明样本唤醒完成,保存,权限条件
VAR-G13-004,g13_mech_3_done,bool,false,历史真相拼合完成,保存,权限条件
VAR-G13-005,g13_mech_4_done,bool,false,最终手动维修完成,保存,权限条件
VAR-G13-006,g13_story_failure_seen,bool,false,剧情性失败发生,保存,必须发生
VAR-G13-007,g13_evidence_1,bool,false,取得或验证证据,保存,无
VAR-G13-008,g13_evidence_2,bool,false,取得或验证证据,保存,无
VAR-G13-009,g13_evidence_3,bool,false,取得或验证证据,保存,无
VAR-G13-010,g13_evidence_4,bool,false,取得或验证证据,保存,无
VAR-G13-011,g13_evidence_5,bool,false,取得或验证证据,保存,无
VAR-G13-012,g13_evidence_6,bool,false,取得或验证证据,保存,无
VAR-G13-013,g13_evidence_7,bool,false,取得或验证证据,保存,无
VAR-G13-014,g13_evidence_8,bool,false,取得或验证证据,保存,无
VAR-G13-015,g13_evidence_9,bool,false,取得或验证证据,保存,无
VAR-G13-016,g13_evidence_10,bool,false,取得或验证证据,保存,无
VAR-G13-017,g13_permission_1,bool,false,管理员权限节点完成,保存,权限1
VAR-G13-018,g13_permission_2,bool,false,管理员权限节点完成,保存,权限2
VAR-G13-019,g13_permission_3,bool,false,管理员权限节点完成,保存,权限3
VAR-G13-020,g13_permission_4,bool,false,管理员权限节点完成,保存,权限4
VAR-G13-021,g13_admin_unlocked,bool,false,管理员权限解除,跨章保存,无
VAR-G13-022,g13_world_change_checks,int,0,世界改变回访,保存,0-3
VAR-G13-023,g13_chapter_complete,bool,false,章节结算,跨章保存,解锁END
VAR-G13-024,world_star_core_count,int,11,章节完成,跨章保存,完成后+1
VAR-G13-025,player_name,string,星宇,全项目固定,跨章保存,禁止写回小砾
VAR-G13-026,g13_hint_level,int,0,失败次数更新,临时+保存,0-3
VAR-G13-027,g13_last_safe_node,string,无,进入安全节点,保存,恢复位置
VAR-G13-028,g13_inventory_valid,bool,true,每次保存前校验,保存,关键物完整
VAR-G13-029,g13_ending_flag,string,未完成,章节结算,跨章保存,完成/分支
