场景ID,场景名称,地点,场景类型,角色,核心目标,下一场景,存档点,关键道具,危险ID,UI引用
SCN-G13-00,回到零号地球,地球轨道站,入场调查,星宇、七码、十二星管理员记录、文明样本代表、零号管理员,完成回到零号地球的调查、找物、机制或权限目标,SCN-G13-01,AUTO-G13-001,十二星数据片,DANGER-068,UI-056
SCN-G13-01,十二星数据环,十二星数据厅,机制推进,星宇、七码、十二星管理员记录、文明样本代表、零号管理员,完成十二星数据环的调查、找物、机制或权限目标,SCN-G13-02,AUTO-G13-002,依赖连接线,DANGER-069,UI-056
SCN-G13-02,文明样本库,文明样本库,找物与机制,星宇、七码、十二星管理员记录、文明样本代表、零号管理员,完成文明样本库的调查、找物、机制或权限目标,SCN-G13-03,AUTO-G13-003,文明样本卡,DANGER-070,UI-057
SCN-G13-03,唤醒批次,生态准备舱,机制推进,星宇、七码、十二星管理员记录、文明样本代表、零号管理员,完成唤醒批次的调查、找物、机制或权限目标,SCN-G13-04,AUTO-G13-004,环境阈值牌,DANGER-071,UI-057
SCN-G13-04,历史档案井,历史档案井,找物与机制,星宇、七码、十二星管理员记录、文明样本代表、零号管理员,完成历史档案井的调查、找物、机制或权限目标,SCN-G13-05,AUTO-G13-005,批次时间片,DANGER-072,UI-058
SCN-G13-05,真相拼合,真相时间线,剧情性失败/修正,星宇、七码、十二星管理员记录、文明样本代表、零号管理员,完成真相拼合的调查、找物、机制或权限目标,SCN-G13-06,AUTO-G13-006,历史档案碎片,DANGER-073,UI-058
SCN-G13-06,旧核心手动维修,旧核心机房,机制推进,星宇、七码、十二星管理员记录、文明样本代表、零号管理员,完成旧核心手动维修的调查、找物、机制或权限目标,SCN-G13-07,AUTO-G13-007,来源印记,DANGER-074,UI-059
SCN-G13-07,最终权限解除,零号控制室,管理员权限解除,星宇、七码、十二星管理员记录、文明样本代表、零号管理员,完成最终权限解除的调查、找物、机制或权限目标,SCN-G13-08,AUTO-G13-008,小扳手,DANGER-074/DANGER-075/DANGER-076,UI-082
SCN-G13-08,结局选择,地表观察台,世界改变/回访,星宇、七码、十二星管理员记录、文明样本代表、零号管理员,完成结局选择的调查、找物、机制或权限目标,SCN-G13-09,AUTO-G13-009,旧式螺母,无,UI-083
SCN-G13-09,全章回顾,星图回顾厅,世界改变/回访,星宇、七码、十二星管理员记录、文明样本代表、零号管理员,完成全章回顾的调查、找物、机制或权限目标,END,AUTO-G13-010,力度刻度片,无,UI-083
