映射ID,资产ID,资产名称,应用场景,UI,热点/入口,关联危险/机制,说明
MAP-G13-001,MECH-044,十二星数据闭环,SCN-G13-00/SCN-G13-01,UI-056,HS-G13-0001—0008,DANGER-068,机制与场景状态对应
MAP-G13-002,MECH-045,文明样本唤醒,SCN-G13-02/SCN-G13-03,UI-057,HS-G13-0009—0016,DANGER-069,机制与场景状态对应
MAP-G13-003,MECH-046,历史真相拼合,SCN-G13-04/SCN-G13-05,UI-058,HS-G13-0017—0024,DANGER-070,机制与场景状态对应
MAP-G13-004,MECH-047,最终手动维修,SCN-G13-06/SCN-G13-07,UI-059,HS-G13-0025—0032,DANGER-071,机制与场景状态对应
MAP-G13-005,UI-082,管理员对话/权限解除,SCN-G13-07,UI-082,HS-G13-0029—0032,DANGER-074/DANGER-075/DANGER-076,替代旧Boss战
MAP-G13-006,UI-083,世界改变/学习结算,SCN-G13-08/SCN-G13-09,UI-083,HS-G13-0033—0040,无,章节结算
MAP-G13-007,DANGER-068,零号地球危险1,SCN-G13-00,UI-005/UI-012,HS-G13-0001,关联机制,预警、安全窗口与软重置
MAP-G13-008,DANGER-069,零号地球危险2,SCN-G13-01,UI-005/UI-012,HS-G13-0005,关联机制,预警、安全窗口与软重置
MAP-G13-009,DANGER-070,零号地球危险3,SCN-G13-02,UI-005/UI-012,HS-G13-0009,关联机制,预警、安全窗口与软重置
MAP-G13-010,DANGER-071,零号地球危险4,SCN-G13-03,UI-005/UI-012,HS-G13-0013,关联机制,预警、安全窗口与软重置
MAP-G13-011,DANGER-072,零号地球危险5,SCN-G13-04,UI-005/UI-012,HS-G13-0017,关联机制,预警、安全窗口与软重置
MAP-G13-012,DANGER-073,零号地球危险6,SCN-G13-05,UI-005/UI-012,HS-G13-0021,关联机制,预警、安全窗口与软重置
MAP-G13-013,DANGER-074,零号地球危险7,SCN-G13-06,UI-005/UI-012,HS-G13-0025,关联机制,预警、安全窗口与软重置
MAP-G13-014,DANGER-075,零号地球危险8,SCN-G13-07,UI-005/UI-012,HS-G13-0029,关联机制,预警、安全窗口与软重置
MAP-G13-015,DANGER-076,零号地球危险9,SCN-G13-08,UI-005/UI-012,HS-G13-0033,关联机制,预警、安全窗口与软重置
