提示ID,场景ID,机关/任务,提示等级,提示文本,触发条件,效果
HINT-G13-001-1,SCN-G13-01,十二星数据闭环,1级,先确认“十二星数据闭环”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G13-001-2,SCN-G13-01,十二星数据闭环,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G13-001-3,SCN-G13-01,十二星数据闭环,3级,自动完成“十二星数据闭环”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G13-002-1,SCN-G13-03,文明样本唤醒,1级,先确认“文明样本唤醒”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G13-002-2,SCN-G13-03,文明样本唤醒,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G13-002-3,SCN-G13-03,文明样本唤醒,3级,自动完成“文明样本唤醒”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G13-003-1,SCN-G13-05,历史真相拼合,1级,先确认“历史真相拼合”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G13-003-2,SCN-G13-05,历史真相拼合,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G13-003-3,SCN-G13-05,历史真相拼合,3级,自动完成“历史真相拼合”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G13-004-1,SCN-G13-07,最终手动维修,1级,先确认“最终手动维修”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G13-004-2,SCN-G13-07,最终手动维修,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G13-004-3,SCN-G13-07,最终手动维修,3级,自动完成“最终手动维修”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G13-013,SCN-G13-05,剧情性失败复盘,1级,剧情性失败复盘：按证据、前置条件和安全节点逐项处理。,0次失败,方向提示
HINT-G13-014,SCN-G13-05,剧情性失败复盘,2级,剧情性失败复盘：按证据、前置条件和安全节点逐项处理。,1次失败,显示缺失条件
HINT-G13-015,SCN-G13-05,剧情性失败复盘,3级,剧情性失败复盘：按证据、前置条件和安全节点逐项处理。,2次失败,完成一步
HINT-G13-016,SCN-G13-07,零号管理员权限解除,1级,零号管理员权限解除：按证据、前置条件和安全节点逐项处理。,0次失败,方向提示
HINT-G13-017,SCN-G13-07,零号管理员权限解除,2级,零号管理员权限解除：按证据、前置条件和安全节点逐项处理。,1次失败,显示缺失条件
HINT-G13-018,SCN-G13-07,零号管理员权限解除,3级,零号管理员权限解除：按证据、前置条件和安全节点逐项处理。,2次失败,完成一步
