热点ID,场景ID,热点名称,热点类型,操作方式,前置条件,成功结果,错误反馈,完成后状态,目标ID
HS-G13-0001,SCN-G13-00,回到零号地球-调查证据,调查证据,点击/扫描,进入场景,记录回到零号地球的关键证据,无,已读,OBJ-G13-001
HS-G13-0002,SCN-G13-00,回到零号地球-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得回到零号地球所需工具或证据,提示缩小范围,找物完成,OBJ-G13-001
HS-G13-0003,SCN-G13-00,回到零号地球-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进回到零号地球对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G13-001
HS-G13-0004,SCN-G13-00,回到零号地球-完成确认,完成确认,提交/确认,机制条件全部满足,完成回到零号地球并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G13-001
HS-G13-0005,SCN-G13-01,十二星数据环-调查证据,调查证据,点击/扫描,进入场景,记录十二星数据环的关键证据,无,已读,OBJ-G13-002
HS-G13-0006,SCN-G13-01,十二星数据环-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得十二星数据环所需工具或证据,提示缩小范围,找物完成,OBJ-G13-002
HS-G13-0007,SCN-G13-01,十二星数据环-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进十二星数据环对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G13-002
HS-G13-0008,SCN-G13-01,十二星数据环-完成确认,完成确认,提交/确认,机制条件全部满足,完成十二星数据环并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G13-002
HS-G13-0009,SCN-G13-02,文明样本库-调查证据,调查证据,点击/扫描,进入场景,记录文明样本库的关键证据,无,已读,OBJ-G13-003
HS-G13-0010,SCN-G13-02,文明样本库-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得文明样本库所需工具或证据,提示缩小范围,找物完成,OBJ-G13-003
HS-G13-0011,SCN-G13-02,文明样本库-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进文明样本库对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G13-003
HS-G13-0012,SCN-G13-02,文明样本库-完成确认,完成确认,提交/确认,机制条件全部满足,完成文明样本库并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G13-003
HS-G13-0013,SCN-G13-03,唤醒批次-调查证据,调查证据,点击/扫描,进入场景,记录唤醒批次的关键证据,无,已读,OBJ-G13-004
HS-G13-0014,SCN-G13-03,唤醒批次-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得唤醒批次所需工具或证据,提示缩小范围,找物完成,OBJ-G13-004
HS-G13-0015,SCN-G13-03,唤醒批次-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进唤醒批次对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G13-004
HS-G13-0016,SCN-G13-03,唤醒批次-完成确认,完成确认,提交/确认,机制条件全部满足,完成唤醒批次并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G13-004
HS-G13-0017,SCN-G13-04,历史档案井-调查证据,调查证据,点击/扫描,进入场景,记录历史档案井的关键证据,无,已读,OBJ-G13-005
HS-G13-0018,SCN-G13-04,历史档案井-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得历史档案井所需工具或证据,提示缩小范围,找物完成,OBJ-G13-005
HS-G13-0019,SCN-G13-04,历史档案井-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进历史档案井对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G13-005
HS-G13-0020,SCN-G13-04,历史档案井-完成确认,完成确认,提交/确认,机制条件全部满足,完成历史档案井并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G13-005
HS-G13-0021,SCN-G13-05,真相拼合-调查证据,调查证据,点击/扫描,进入场景,记录真相拼合的关键证据,无,已读,OBJ-G13-006
HS-G13-0022,SCN-G13-05,真相拼合-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得真相拼合所需工具或证据,提示缩小范围,找物完成,OBJ-G13-006
HS-G13-0023,SCN-G13-05,真相拼合-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进真相拼合对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G13-006
HS-G13-0024,SCN-G13-05,真相拼合-完成确认,完成确认,提交/确认,机制条件全部满足,完成真相拼合并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G13-006
HS-G13-0025,SCN-G13-06,旧核心手动维修-调查证据,调查证据,点击/扫描,进入场景,记录旧核心手动维修的关键证据,无,已读,OBJ-G13-007
