变量ID,变量名,类型,默认值,写入条件,持久性,约束
VAR-G10-001,g10_intro_done,bool,false,首场景完成,保存,无
VAR-G10-002,g10_mech_1_done,bool,false,风向样本墙完成,保存,权限条件
VAR-G10-003,g10_mech_2_done,bool,false,货箱抽样调查完成,保存,权限条件
VAR-G10-004,g10_mech_3_done,bool,false,概率门阵完成,保存,权限条件
VAR-G10-005,g10_mech_4_done,bool,false,天气决策板完成,保存,权限条件
VAR-G10-006,g10_story_failure_seen,bool,false,剧情性失败发生,保存,必须发生
VAR-G10-007,g10_evidence_1,bool,false,取得或验证证据,保存,无
VAR-G10-008,g10_evidence_2,bool,false,取得或验证证据,保存,无
VAR-G10-009,g10_evidence_3,bool,false,取得或验证证据,保存,无
VAR-G10-010,g10_evidence_4,bool,false,取得或验证证据,保存,无
VAR-G10-011,g10_evidence_5,bool,false,取得或验证证据,保存,无
VAR-G10-012,g10_evidence_6,bool,false,取得或验证证据,保存,无
VAR-G10-013,g10_evidence_7,bool,false,取得或验证证据,保存,无
VAR-G10-014,g10_evidence_8,bool,false,取得或验证证据,保存,无
VAR-G10-015,g10_evidence_9,bool,false,取得或验证证据,保存,无
VAR-G10-016,g10_evidence_10,bool,false,取得或验证证据,保存,无
VAR-G10-017,g10_permission_1,bool,false,管理员权限节点完成,保存,权限1
VAR-G10-018,g10_permission_2,bool,false,管理员权限节点完成,保存,权限2
VAR-G10-019,g10_permission_3,bool,false,管理员权限节点完成,保存,权限3
VAR-G10-020,g10_permission_4,bool,false,管理员权限节点完成,保存,权限4
VAR-G10-021,g10_admin_unlocked,bool,false,管理员权限解除,跨章保存,无
VAR-G10-022,g10_world_change_checks,int,0,世界改变回访,保存,0-3
VAR-G10-023,g10_chapter_complete,bool,false,章节结算,跨章保存,解锁G11
VAR-G10-024,world_star_core_count,int,8,章节完成,跨章保存,完成后+1
VAR-G10-025,player_name,string,星宇,全项目固定,跨章保存,禁止写回小砾
VAR-G10-026,g10_hint_level,int,0,失败次数更新,临时+保存,0-3
VAR-G10-027,g10_last_safe_node,string,无,进入安全节点,保存,恢复位置
VAR-G10-028,g10_inventory_valid,bool,true,每次保存前校验,保存,关键物完整
VAR-G10-029,g10_ending_flag,string,未完成,章节结算,跨章保存,完成/分支
