存档ID,场景ID,触发条件,保存内容,恢复位置
AUTO-G10-001,SCN-G10-00,随机风降落完成,场景状态、关键物、机制进度、证据和变量,云港外泊位安全点
AUTO-G10-002,SCN-G10-01,风向样本墙完成,场景状态、关键物、机制进度、证据和变量,气象墙安全点
AUTO-G10-003,SCN-G10-02,货箱抽样完成,场景状态、关键物、机制进度、证据和变量,货仓群安全点
AUTO-G10-004,SCN-G10-03,代表性争议完成,场景状态、关键物、机制进度、证据和变量,抽样平台安全点
AUTO-G10-005,SCN-G10-04,概率门阵完成,场景状态、关键物、机制进度、证据和变量,云门航道安全点
AUTO-G10-006,SCN-G10-05,错误确定航线完成,场景状态、关键物、机制进度、证据和变量,雷暴边缘安全点
AUTO-G10-007,SCN-G10-06,天气决策板完成,场景状态、关键物、机制进度、证据和变量,港务决策厅安全点
AUTO-G10-008,SCN-G10-07,玄冥权限解除完成,场景状态、关键物、机制进度、证据和变量,玄冥塔安全点
AUTO-G10-009,SCN-G10-08,云港恢复完成,场景状态、关键物、机制进度、证据和变量,主航线安全点
AUTO-G10-010,SCN-G10-09,回访与结算完成,场景状态、关键物、机制进度、证据和变量,货仓码头安全点
