道具ID,名称,类别,取得位置,使用热点,用途,消耗规则,归还/归档,备注
ITM-G10-001,风向样本卡,工具/证据/材料,HOS-G10-001,HS-G10-0003,服务于样本、频率、概率、代表性和风险决策相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G10-002,频率筹码,工具/证据/材料,HOS-G10-001,HS-G10-0006,服务于样本、频率、概率、代表性和风险决策相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G10-003,抽样夹,工具/证据/材料,HOS-G10-001,HS-G10-0009,服务于样本、频率、概率、代表性和风险决策相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G10-004,区域编号签,工具/证据/材料,HOS-G10-002,HS-G10-0012,服务于样本、频率、概率、代表性和风险决策相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G10-005,问题货箱封条,工具/证据/材料,HOS-G10-002,HS-G10-0015,服务于样本、频率、概率、代表性和风险决策相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G10-006,概率环片,工具/证据/材料,HOS-G10-002,HS-G10-0018,服务于样本、频率、概率、代表性和风险决策相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G10-007,风险阈值牌,工具/证据/材料,HOS-G10-003,HS-G10-0021,服务于样本、频率、概率、代表性和风险决策相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G10-008,天气证据卡,工具/证据/材料,HOS-G10-003,HS-G10-0024,服务于样本、频率、概率、代表性和风险决策相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G10-009,改道图,工具/证据/材料,HOS-G10-003,HS-G10-0027,服务于样本、频率、概率、代表性和风险决策相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G10-010,雷暴计,工具/证据/材料,HOS-G10-004,HS-G10-0030,服务于样本、频率、概率、代表性和风险决策相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G10-011,决策记录板,工具/证据/材料,SCN-G10-02,HS-G10-0033,服务于样本、频率、概率、代表性和风险决策相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G10-012,玄冥控制钥,工具/证据/材料,SCN-G10-03,HS-G10-0036,服务于样本、频率、概率、代表性和风险决策相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
