热点ID,场景ID,热点名称,热点类型,操作方式,前置条件,成功结果,错误反馈,完成后状态,目标ID
HS-G10-0001,SCN-G10-00,随机风降落-调查证据,调查证据,点击/扫描,进入场景,记录随机风降落的关键证据,无,已读,OBJ-G10-001
HS-G10-0002,SCN-G10-00,随机风降落-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得随机风降落所需工具或证据,提示缩小范围,找物完成,OBJ-G10-001
HS-G10-0003,SCN-G10-00,随机风降落-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进随机风降落对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G10-001
HS-G10-0004,SCN-G10-00,随机风降落-完成确认,完成确认,提交/确认,机制条件全部满足,完成随机风降落并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G10-001
HS-G10-0005,SCN-G10-01,风向样本墙-调查证据,调查证据,点击/扫描,进入场景,记录风向样本墙的关键证据,无,已读,OBJ-G10-002
HS-G10-0006,SCN-G10-01,风向样本墙-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得风向样本墙所需工具或证据,提示缩小范围,找物完成,OBJ-G10-002
HS-G10-0007,SCN-G10-01,风向样本墙-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进风向样本墙对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G10-002
HS-G10-0008,SCN-G10-01,风向样本墙-完成确认,完成确认,提交/确认,机制条件全部满足,完成风向样本墙并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G10-002
HS-G10-0009,SCN-G10-02,货箱抽样-调查证据,调查证据,点击/扫描,进入场景,记录货箱抽样的关键证据,无,已读,OBJ-G10-003
HS-G10-0010,SCN-G10-02,货箱抽样-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得货箱抽样所需工具或证据,提示缩小范围,找物完成,OBJ-G10-003
HS-G10-0011,SCN-G10-02,货箱抽样-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进货箱抽样对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G10-003
HS-G10-0012,SCN-G10-02,货箱抽样-完成确认,完成确认,提交/确认,机制条件全部满足,完成货箱抽样并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G10-003
HS-G10-0013,SCN-G10-03,代表性争议-调查证据,调查证据,点击/扫描,进入场景,记录代表性争议的关键证据,无,已读,OBJ-G10-004
HS-G10-0014,SCN-G10-03,代表性争议-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得代表性争议所需工具或证据,提示缩小范围,找物完成,OBJ-G10-004
HS-G10-0015,SCN-G10-03,代表性争议-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进代表性争议对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G10-004
HS-G10-0016,SCN-G10-03,代表性争议-完成确认,完成确认,提交/确认,机制条件全部满足,完成代表性争议并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G10-004
HS-G10-0017,SCN-G10-04,概率门阵-调查证据,调查证据,点击/扫描,进入场景,记录概率门阵的关键证据,无,已读,OBJ-G10-005
HS-G10-0018,SCN-G10-04,概率门阵-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得概率门阵所需工具或证据,提示缩小范围,找物完成,OBJ-G10-005
HS-G10-0019,SCN-G10-04,概率门阵-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进概率门阵对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G10-005
HS-G10-0020,SCN-G10-04,概率门阵-完成确认,完成确认,提交/确认,机制条件全部满足,完成概率门阵并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G10-005
HS-G10-0021,SCN-G10-05,错误确定航线-调查证据,调查证据,点击/扫描,进入场景,记录错误确定航线的关键证据,无,已读,OBJ-G10-006
HS-G10-0022,SCN-G10-05,错误确定航线-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得错误确定航线所需工具或证据,提示缩小范围,找物完成,OBJ-G10-006
HS-G10-0023,SCN-G10-05,错误确定航线-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进错误确定航线对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G10-006
HS-G10-0024,SCN-G10-05,错误确定航线-完成确认,完成确认,提交/确认,机制条件全部满足,完成错误确定航线并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G10-006
HS-G10-0025,SCN-G10-06,天气决策板-调查证据,调查证据,点击/扫描,进入场景,记录天气决策板的关键证据,无,已读,OBJ-G10-007
HS-G10-0026,SCN-G10-06,天气决策板-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得天气决策板所需工具或证据,提示缩小范围,找物完成,OBJ-G10-007
HS-G10-0027,SCN-G10-06,天气决策板-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进天气决策板对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G10-007
HS-G10-0028,SCN-G10-06,天气决策板-完成确认,完成确认,提交/确认,机制条件全部满足,完成天气决策板并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G10-007
