场景ID,场景名称,地点,场景类型,角色,核心目标,下一场景,存档点,关键道具,危险ID,UI引用
SCN-G10-00,随机风降落,云港外泊位,入场调查,星宇、七码、气象员云云、仓管箱叔、领航员岚岚、玄冥,完成随机风降落的调查、找物、机制或权限目标,SCN-G10-01,AUTO-G10-001,风向样本卡,DANGER-050,UI-044
SCN-G10-01,风向样本墙,气象墙,机制推进,星宇、七码、气象员云云、仓管箱叔、领航员岚岚、玄冥,完成风向样本墙的调查、找物、机制或权限目标,SCN-G10-02,AUTO-G10-002,频率筹码,DANGER-051,UI-044
SCN-G10-02,货箱抽样,货仓群,找物与机制,星宇、七码、气象员云云、仓管箱叔、领航员岚岚、玄冥,完成货箱抽样的调查、找物、机制或权限目标,SCN-G10-03,AUTO-G10-003,抽样夹,DANGER-052,UI-045
SCN-G10-03,代表性争议,抽样平台,机制推进,星宇、七码、气象员云云、仓管箱叔、领航员岚岚、玄冥,完成代表性争议的调查、找物、机制或权限目标,SCN-G10-04,AUTO-G10-004,区域编号签,DANGER-053,UI-045
SCN-G10-04,概率门阵,云门航道,找物与机制,星宇、七码、气象员云云、仓管箱叔、领航员岚岚、玄冥,完成概率门阵的调查、找物、机制或权限目标,SCN-G10-05,AUTO-G10-005,问题货箱封条,DANGER-054,UI-046
SCN-G10-05,错误确定航线,雷暴边缘,剧情性失败/修正,星宇、七码、气象员云云、仓管箱叔、领航员岚岚、玄冥,完成错误确定航线的调查、找物、机制或权限目标,SCN-G10-06,AUTO-G10-006,概率环片,DANGER-055,UI-046
SCN-G10-06,天气决策板,港务决策厅,机制推进,星宇、七码、气象员云云、仓管箱叔、领航员岚岚、玄冥,完成天气决策板的调查、找物、机制或权限目标,SCN-G10-07,AUTO-G10-007,风险阈值牌,DANGER-055,UI-047
SCN-G10-07,玄冥权限解除,玄冥塔,管理员权限解除,星宇、七码、气象员云云、仓管箱叔、领航员岚岚、玄冥,完成玄冥权限解除的调查、找物、机制或权限目标,SCN-G10-08,AUTO-G10-008,天气证据卡,DANGER-053/DANGER-054/DANGER-055,UI-076
SCN-G10-08,云港恢复,主航线,世界改变/回访,星宇、七码、气象员云云、仓管箱叔、领航员岚岚、玄冥,完成云港恢复的调查、找物、机制或权限目标,SCN-G10-09,AUTO-G10-009,改道图,无,UI-077
SCN-G10-09,回访与结算,货仓码头,世界改变/回访,星宇、七码、气象员云云、仓管箱叔、领航员岚岚、玄冥,完成回访与结算的调查、找物、机制或权限目标,G11,AUTO-G10-010,雷暴计,无,UI-077
