映射ID,资产ID,资产名称,应用场景,UI,热点/入口,关联危险/机制,说明
MAP-G10-001,MECH-032,风向样本墙,SCN-G10-00/SCN-G10-01,UI-044,HS-G10-0001—0008,DANGER-050,机制与场景状态对应
MAP-G10-002,MECH-033,货箱抽样调查,SCN-G10-02/SCN-G10-03,UI-045,HS-G10-0009—0016,DANGER-051,机制与场景状态对应
MAP-G10-003,MECH-034,概率门阵,SCN-G10-04/SCN-G10-05,UI-046,HS-G10-0017—0024,DANGER-052,机制与场景状态对应
MAP-G10-004,MECH-035,天气决策板,SCN-G10-06/SCN-G10-07,UI-047,HS-G10-0025—0032,DANGER-053,机制与场景状态对应
MAP-G10-005,UI-076,管理员对话/权限解除,SCN-G10-07,UI-076,HS-G10-0029—0032,DANGER-053/DANGER-054/DANGER-055,替代旧Boss战
MAP-G10-006,UI-077,世界改变/学习结算,SCN-G10-08/SCN-G10-09,UI-077,HS-G10-0033—0040,无,章节结算
MAP-G10-007,DANGER-050,概率云港危险1,SCN-G10-00,UI-005/UI-012,HS-G10-0001,关联机制,预警、安全窗口与软重置
MAP-G10-008,DANGER-051,概率云港危险2,SCN-G10-01,UI-005/UI-012,HS-G10-0005,关联机制,预警、安全窗口与软重置
MAP-G10-009,DANGER-052,概率云港危险3,SCN-G10-02,UI-005/UI-012,HS-G10-0009,关联机制,预警、安全窗口与软重置
MAP-G10-010,DANGER-053,概率云港危险4,SCN-G10-03,UI-005/UI-012,HS-G10-0013,关联机制,预警、安全窗口与软重置
MAP-G10-011,DANGER-054,概率云港危险5,SCN-G10-04,UI-005/UI-012,HS-G10-0017,关联机制,预警、安全窗口与软重置
MAP-G10-012,DANGER-055,概率云港危险6,SCN-G10-05,UI-005/UI-012,HS-G10-0021,关联机制,预警、安全窗口与软重置
