对话ID,场景ID,说话者,台词,类型,触发条件,跳过规则,关联
DLG-G10-0001,SCN-G10-00,七码,今天风向百分之百向东。样本数量：一次。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G10-0002,SCN-G10-01,星宇,一次记录只能说明刚才，不能说明今天。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G10-0003,SCN-G10-02,云云,风不是不讲理，只是它不会提前保证。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G10-0004,SCN-G10-03,箱叔,你抽到的十箱都在门口，它们当然最整齐。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G10-0005,SCN-G10-04,星宇,样本要覆盖不同区域，也要把不确定性写进去。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G10-0006,SCN-G10-05,玄冥,未知意味着危险。所有低于百分之百的方案都应关闭。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G10-0007,SCN-G10-06,星宇,不确定不是停止判断，而是说明风险后再决定。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G10-0008,SCN-G10-07,玄冥,开放风险阈值。允许等待、改道与条件出航。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G10-0009,SCN-G10-08,气象员云云,气象员云云：关于“云港恢复”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G10-0010,SCN-G10-09,仓管箱叔,仓管箱叔：关于“回访与结算”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G10-0011,SCN-G10-00,领航员岚岚,领航员岚岚：关于“随机风降落”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G10-0012,SCN-G10-01,玄冥,玄冥：关于“风向样本墙”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G10-0013,SCN-G10-02,星宇,星宇：关于“货箱抽样”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G10-0014,SCN-G10-03,七码,七码：关于“代表性争议”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G10-0015,SCN-G10-04,气象员云云,星宇只抽查最近的货箱并宣称问题率为零，导致错误放行；必须扩大样本并解释代表性。,场景/系统,状态变化时,可跳过已读,无
DLG-G10-0016,SCN-G10-05,仓管箱叔,仓管箱叔：关于“错误确定航线”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G10-0017,SCN-G10-06,领航员岚岚,领航员岚岚：关于“天气决策板”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G10-0018,SCN-G10-07,玄冥,玄冥：关于“玄冥权限解除”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G10-0019,SCN-G10-08,星宇,玄冥的权限节点已完成一项，正确进度被独立保存。,场景/系统,状态变化时,可跳过已读,无
DLG-G10-0020,SCN-G10-09,七码,七码：关于“回访与结算”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G10-0021,SCN-G10-00,气象员云云,气象员云云：关于“随机风降落”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G10-0022,SCN-G10-01,仓管箱叔,仓管箱叔：关于“风向样本墙”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G10-0023,SCN-G10-02,领航员岚岚,星宇：本章的结论不是一个答案，而是一套能被检查和修正的方法。,场景/系统,状态变化时,可跳过已读,无
DLG-G10-0024,SCN-G10-03,玄冥,玄冥：关于“代表性争议”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
