热点ID,场景ID,热点名称,热点类型,操作方式,前置条件,成功结果,错误反馈,完成后状态,目标ID
HS-G04-0001,SCN-G04-00,翻转导航盘,校准热点,拖拽镜面屏片,进入降落区,显示真实方向轴,错误方向退回,已校准,OBJ-G04-001
HS-G04-0002,SCN-G04-00,真实落点标记,坐标热点,点击标记,导航盘校准,完成落点确认,镜像点提示错误,已标记,OBJ-G04-001
HS-G04-0003,SCN-G04-01,左向路标,证据热点,扫描,进入路标林,取得镜像方向证据,无,已读,OBJ-G04-002
HS-G04-0004,SCN-G04-01,右向路标,证据热点,扫描,进入路标林,取得现实方向证据,无,已读,OBJ-G04-002
HS-G04-0005,SCN-G04-01,坐标碑,机制入口,输入坐标,两路标已读,打开UI-020完成双层坐标,错误点退回,完成,OBJ-G04-003
HS-G04-0006,SCN-G04-01,真向标槽,组合热点,真向标,坐标碑完成,锁定现实方向,错误道具退回,已安装,OBJ-G04-003
HS-G04-0007,SCN-G04-02,记忆井碎片堆A,找物入口,点击,进入记忆井,取得3片记忆碎片,提示缩小范围,空堆,OBJ-G04-004
HS-G04-0008,SCN-G04-02,记忆井碎片堆B,找物入口,点击,进入记忆井,取得来源标签和记忆铆钉,提示缩小范围,空堆,OBJ-G04-004
HS-G04-0009,SCN-G04-02,记忆时间轴,机制热点,拖拽碎片,收齐碎片,打开UI-021验证关系,矛盾片退回待验证区,部分固定,OBJ-G04-005
HS-G04-0010,SCN-G04-02,记忆铆钉槽,组合热点,记忆铆钉,完成完整验证,固定关键记忆,条件不足拒绝,已固定,OBJ-G04-005
HS-G04-0011,SCN-G04-03,单步测试键,测试热点,点击,进入门阵,记录真实反馈,无,历史增加,OBJ-G04-006
HS-G04-0012,SCN-G04-03,规则候选盘,机制热点,选择规则,完成至少2次测试,识别左右/顺序反转,错误规则可撤销,规则锁定,OBJ-G04-006
HS-G04-0013,SCN-G04-03,完整输入序列,机制热点,拖拽方向键,规则锁定,完成UI-022,错误序列退回一步,门开启,OBJ-G04-007
HS-G04-0014,SCN-G04-04,诱饵镜柱A,调查热点,扫描,进入峡谷,记录诱饵特征A,无,已读,OBJ-G04-008
HS-G04-0015,SCN-G04-04,诱饵镜柱B,调查热点,扫描,进入峡谷,记录诱饵特征B,无,已读,OBJ-G04-008
HS-G04-0016,SCN-G04-04,真实风纹,证据热点,点击,两诱饵已读,取得真实通路特征,错误层不可见,已读,OBJ-G04-008
HS-G04-0017,SCN-G04-04,反光布挂点,组合热点,反光布,真实风纹已读,削弱镜片风暴干扰,错误角度可重调,已安装,OBJ-G04-009
HS-G04-0018,SCN-G04-04,验证标记槽,组合热点,验证标记,反光布完成,确认真实目标,错误目标不消耗,已验证,OBJ-G04-009
HS-G04-0019,SCN-G04-05,档案柜A,找物入口,点击,进入档案馆,取得日记页与时间签,提示缩小范围,空柜,OBJ-G04-010
HS-G04-0020,SCN-G04-05,档案柜B,找物入口,点击,进入档案馆,取得图像页与来源章,提示缩小范围,空柜,OBJ-G04-010
HS-G04-0021,SCN-G04-05,来源校验台,证据热点,拖拽档案页,取得全部档案,验证来源一致性,错误页退回,已验证,OBJ-G04-011
HS-G04-0022,SCN-G04-05,矛盾片段槽,证据热点,拖拽片段,来源校验完成,标记矛盾并进入待验证,错误片退回,已标记,OBJ-G04-011
HS-G04-0023,SCN-G04-05,记忆固定台,机制热点,提交证据,完成矛盾标记,固定第二组关键记忆,证据不足拒绝,已固定,OBJ-G04-012
HS-G04-0024,SCN-G04-06,历史诱饵案例墙,机制入口,拖拽案例卡,进入核心外环,提取共同特征,错误关系可撤销,关系建立,OBJ-G04-013
HS-G04-0025,SCN-G04-06,候选入口A-C,预测热点,选择候选,案例关系完成,打开UI-023预测,错误候选可重选,候选锁定,OBJ-G04-013
HS-G04-0026,SCN-G04-06,真实验证点,组合热点,验证标记,预测完成,确认真实入口,错误位置不消耗,已验证,OBJ-G04-014
HS-G04-0027,SCN-G04-07,真实坐标节点,权限热点,提交坐标证据,管理员阶段1,解除镜像定位权限,证据不足拒绝,已解除,OBJ-G04-015
HS-G04-0028,SCN-G04-07,固定记忆节点,权限热点,提交两组固定记忆,管理员阶段2,解除记忆覆盖权限,耐久不足拒绝,已解除,OBJ-G04-015
HS-G04-0029,SCN-G04-07,反向规则节点,权限热点,提交门阵规则,管理员阶段3,解除输入反转权限,规则冲突提示,已解除,OBJ-G04-015
HS-G04-0030,SCN-G04-07,欺骗预测节点,权限热点,提交真实入口预测,管理员阶段4,解除诱饵生成权限,预测未验证时拒绝,已解除,OBJ-G04-015
HS-G04-0031,SCN-G04-07,九尾镜核,维修热点,小扳手/镜面屏片,四项权限解除,断开错误镜像循环,条件不足不可接近,镜核稳定,OBJ-G04-016
HS-G04-0032,SCN-G04-08,主城路标组,回访热点,点击,权限解除,验证真假路标恢复,无,已验证,OBJ-G04-017
HS-G04-0033,SCN-G04-08,记忆井水面,回访热点,点击,权限解除,验证固定记忆仍存在,无,已验证,OBJ-G04-017
HS-G04-0034,SCN-G04-08,档案馆目录,回访热点,点击,权限解除,验证矛盾记录已公开,无,已验证,OBJ-G04-017
HS-G04-0035,SCN-G04-09,阿镜回忆板,回访热点,对话,三项世界改变验证,完成角色回访,无,完成,OBJ-G04-018
HS-G04-0036,SCN-G04-09,九尾狐通讯台,回访热点,对话,三项世界改变验证,确认管理员恢复,无,完成,OBJ-G04-018
