场景ID,场景名称,地点,场景类型,角色,核心目标,下一场景,存档点,关键道具,危险ID,UI引用
SCN-G04-00,左右失控的降落,镜面沙海外缘,入场导航,星宇、七码,校准镜像导航并找到真实落点,SCN-G04-01,AUTO-G04-001,镜面屏片,DANGER-014,UI-005/UI-020
SCN-G04-01,会说谎的路标,双向路标林,坐标调查,星宇、七码、沙旅人,识别现实层与镜像层坐标差异,SCN-G04-02,AUTO-G04-002,坐标针、真向标,DANGER-015,UI-020
SCN-G04-02,碎掉的记忆井,记忆井遗址,找物与证据,星宇、七码、阿镜,收集并验证第一组记忆碎片,SCN-G04-03,AUTO-G04-003,记忆碎片、来源标签,DANGER-016,UI-021
SCN-G04-03,反着开的门,反向输入门阵,机制解谜,星宇、七码,通过单步测试识别反向输入规则,SCN-G04-04,AUTO-G04-004,测试片、方向键,DANGER-017,UI-022
SCN-G04-04,诱饵峡谷,棱镜峡谷,环境窗口与找物,星宇、七码、阿镜,从诱饵中识别真实目标并穿越峡谷,SCN-G04-05,AUTO-G04-005,验证标记、反光布,DANGER-018,UI-023
SCN-G04-05,镜像档案馆,旧档案馆,证据拼合,星宇、七码、沙旅人,恢复记忆来源并标记矛盾片段,SCN-G04-06,AUTO-G04-006,档案页、时间签,DANGER-019,UI-010/UI-021
SCN-G04-06,真假入口预测,沙海核心外环,机制推理,星宇、七码、阿镜,根据历史诱饵规律预测真实入口,SCN-G04-07,AUTO-G04-007,案例卡、验证标记,DANGER-018,UI-023
SCN-G04-07,管理员权限解除,九尾狐镜塔,综合权限核验,星宇、七码、阿镜、九尾狐,以真实坐标、固定记忆、反向规则和预测结果解除权限,SCN-G04-08,AUTO-G04-008,全部关键证据,DANGER-015/017/019,UI-064
SCN-G04-08,假入口消退,镜面沙海主城,世界改变,星宇、七码、居民、九尾狐,验证路径恢复、记忆固定和档案纠错,SCN-G04-09,AUTO-G04-009,无,无,UI-065
SCN-G04-09,真相回访与结算,记忆井/档案馆/镜塔,回访结算,星宇、七码、阿镜、九尾狐,完成回访并解锁G05,G05,AUTO-G04-010,借用物归还,无,UI-065
