映射ID,资产ID,资产名称,应用场景,UI,热点/入口,关联危险/机制,说明
MAP-G04-001,MECH-008,现实/镜像双层坐标,SCN-G04-00/01,UI-020,HS-G04-0001—0006,DANGER-014/015,坐标转换与真实方向
MAP-G04-002,MECH-009,记忆耐久,SCN-G04-02/05,UI-021,HS-G04-0007—0010/0019—0023,DANGER-016/019,来源验证与记忆固定
MAP-G04-003,MECH-010,反向输入机关,SCN-G04-03,UI-022,HS-G04-0011—0013,DANGER-017,单步测试与规则识别
MAP-G04-004,MECH-011,欺骗预测,SCN-G04-04/06,UI-023,HS-G04-0014—0018/0024—0026,DANGER-018,诱饵规律和真实入口
MAP-G04-005,UI-064,管理员权限解除,SCN-G04-07,UI-064,HS-G04-0027—0031,MECH-008—011,替代旧Boss战
MAP-G04-006,UI-065,世界改变/学习结算,SCN-G04-08/09,UI-065,HS-G04-0032—0036,无,章节结算
MAP-G04-007,DANGER-014,镜像导航错位,SCN-G04-00,UI-005/UI-020,HS-G04-0001/0002,MECH-008,落点误判
MAP-G04-008,DANGER-015,路标层级混淆,SCN-G04-01/07,UI-020/UI-064,HS-G04-0003—0006/0027,MECH-008,现实镜像错位
MAP-G04-009,DANGER-016,记忆碎片褪色,SCN-G04-02,UI-021/UI-012,HS-G04-0007—0010,MECH-009,耐久下降与安全固定
MAP-G04-010,DANGER-017,反向门阵误触,SCN-G04-03/07,UI-022/UI-012,HS-G04-0011—0013/0029,MECH-010,错误输入软重置
MAP-G04-011,DANGER-018,镜片风暴与诱饵,SCN-G04-04/06,UI-023/UI-012,HS-G04-0014—0018/0024—0026,MECH-011,视野干扰与预测
MAP-G04-012,DANGER-019,档案来源错拼,SCN-G04-05/07,UI-010/UI-021,HS-G04-0019—0023/0028,MECH-009,矛盾记录与覆盖风险
