道具ID,名称,类别,取得位置,使用热点,用途,消耗规则,归还/归档,备注
ITM-G04-001,磁力手套,跨章工具,G02继承,镜塔维修/固定,磁性牵引与维修,不消耗,继续携带,无
ITM-G04-002,镜面屏片,跨章工具,G02继承,导航盘/镜核,反射与校准,不消耗,继续携带,本章核心工具
ITM-G04-003,坐标针,测量工具,SCN-G04-01,坐标碑,标记现实坐标,不消耗,归档,无
ITM-G04-004,真向标,导航工具,SCN-G04-01,真向标槽,锁定现实方向,使用后安装,保留场景,无
ITM-G04-005,记忆碎片组A,证据,HOS-G04-001,记忆时间轴,恢复第一组记忆,不消耗,证据归档,耐久可下降
ITM-G04-006,来源标签组,证据,HOS-G04-001/002,记忆时间轴,验证记忆来源,不消耗,证据归档,无
ITM-G04-007,记忆铆钉,工具组件,HOS-G04-002,记忆铆钉槽,固定关键记忆,使用后嵌入,保留记忆井,关键道具
ITM-G04-008,方向键组,机关组件,SCN-G04-03,完整输入序列,完成反向输入,使用后嵌入,保留门阵,可重复调整
ITM-G04-009,测试片,机关工具,SCN-G04-03,单步测试键,记录真实反馈,不消耗,归档,无
ITM-G04-010,反光布,环境工具,HOS-G04-003,反光布挂点,削弱镜片风暴,使用后安装,保留峡谷,无
ITM-G04-011,验证标记,证据工具,HOS-G04-003,峡谷/核心外环,确认真实目标,错误使用不消耗,归档,跨两处使用
ITM-G04-012,风纹尺,测量工具,HOS-G04-003,真实风纹,比较真实通路,不消耗,归档,无
ITM-G04-013,档案页组,证据,HOS-G04-004/005,来源校验台,恢复历史记录,不消耗,证据归档,无
ITM-G04-014,时间签组,证据,HOS-G04-004/005,记忆固定台,验证时间顺序,不消耗,证据归档,无
ITM-G04-015,来源章组,证据,HOS-G04-004/005,来源校验台,验证来源一致,不消耗,证据归档,无
ITM-G04-016,矛盾片段,证据,HOS-G04-005,矛盾片段槽,标记错误记忆,不消耗,证据归档,关键证据
ITM-G04-017,案例卡组,证据,SCN-G04-06,历史案例墙,提取诱饵规律,不消耗,证据归档,无
ITM-G04-018,真实入口证明,任务证据,SCN-G04-06,管理员预测节点,解除诱饵权限,不消耗,跨场景保留,关键证据
