变量ID,变量名,类型,默认值,写入条件,持久性,约束
VAR-G04-001,g04_landing_calibrated,bool,false,真实落点确认,保存,无
VAR-G04-002,g04_layer_markers_read,int,0,扫描双路标,保存,0-2
VAR-G04-003,g04_dual_coordinate_done,bool,false,UI-020完成,保存,无
VAR-G04-004,g04_true_compass_installed,bool,false,真向标安装,保存,无
VAR-G04-005,g04_memory_fragments_a,int,0,记忆井找物,保存,0-3
VAR-G04-006,g04_memory_source_links_a,int,0,UI-021连接,保存,0-3
VAR-G04-007,g04_memory_a_fixed,bool,false,铆钉固定,保存,权限条件
VAR-G04-008,g04_reverse_tests,int,0,单步测试,保存,0-4
VAR-G04-009,g04_reverse_rule_found,bool,false,规则候选锁定,保存,权限条件
VAR-G04-010,g04_reverse_gate_open,bool,false,完整序列完成,保存,无
VAR-G04-011,g04_decoy_traits,int,0,峡谷调查,保存,0-3
VAR-G04-012,g04_reflective_cloth_installed,bool,false,反光布安装,保存,无
VAR-G04-013,g04_true_target_verified,bool,false,验证标记完成,保存,无
VAR-G04-014,g04_archive_pages,int,0,档案馆找物,保存,0-4
VAR-G04-015,g04_archive_sources_verified,int,0,来源校验,保存,0-4
VAR-G04-016,g04_contradiction_marked,bool,false,矛盾片段槽完成,保存,无
VAR-G04-017,g04_memory_b_fixed,bool,false,第二组记忆固定,保存,权限条件
VAR-G04-018,g04_prediction_links,int,0,案例关系建立,保存,0-4
VAR-G04-019,g04_true_entrance_proved,bool,false,预测验证完成,保存,权限条件
VAR-G04-020,g04_permission_coordinate,bool,false,真实坐标节点,保存,管理员权限1
VAR-G04-021,g04_permission_memory,bool,false,固定记忆节点,保存,管理员权限2
VAR-G04-022,g04_permission_reverse,bool,false,反向规则节点,保存,管理员权限3
VAR-G04-023,g04_permission_deception,bool,false,欺骗预测节点,保存,管理员权限4
VAR-G04-024,g04_mirror_core_stable,bool,false,镜核维修,保存,无
VAR-G04-025,g04_admin_unlocked,bool,false,权限解除,跨章保存,无
VAR-G04-026,g04_world_change_checks,int,0,三项世界改变验证,保存,0-3
VAR-G04-027,g04_chapter_complete,bool,false,回访完成,跨章保存,解锁G05
VAR-G04-028,world_star_core_count,int,2,章节结算,跨章保存,完成后+1
VAR-G04-029,player_name,string,星宇,全项目固定,跨章保存,禁止写回小砾
