存档ID,场景ID,触发条件,保存内容,恢复位置
AUTO-G04-001,SCN-G04-00,真实落点确认,导航校准与落点状态,降落安全点
AUTO-G04-002,SCN-G04-01,双层坐标完成,路标证据、坐标碑、真向标,路标林出口
AUTO-G04-003,SCN-G04-02,第一组记忆固定,找物结果、来源关系、耐久状态,记忆井安全点
AUTO-G04-004,SCN-G04-03,反向门阵开启,测试历史、规则和输入序列,门阵出口
AUTO-G04-005,SCN-G04-04,峡谷真实目标确认,诱饵特征、反光布和验证标记,峡谷安全台
AUTO-G04-006,SCN-G04-05,第二组记忆固定,档案来源、矛盾片段、耐久状态,档案馆出口
AUTO-G04-007,SCN-G04-06,真实入口证明完成,案例关系、预测与验证结果,核心外环
AUTO-G04-008,SCN-G04-07,管理员权限解除,四项权限、镜核状态,镜塔结算点
AUTO-G04-009,SCN-G04-08,世界改变验证,路标、记忆井、档案馆回访,主城广场
AUTO-G04-010,SCN-G04-09,章节结算完成,章节完成与跨章变量,章节结算页
