对话ID,场景ID,说话者,台词,类型,触发条件,跳过规则,关联
DLG-G04-0001,SCN-G04-00,七码,左边是右边，右边是左边。好消息是我已经理解。坏消息是导航也理解了。,自动,进入降落区,不可跳过首次,无
DLG-G04-0002,SCN-G04-00,星宇,先找不随镜面变化的东西。风和重力不会说谎。,自动,首次误标,不可跳过首次,方法提示
DLG-G04-0003,SCN-G04-01,沙旅人,这里每块路牌都是真的，只是它们说的是不同一层。,剧情,首次进入,不可跳过首次,无
DLG-G04-0004,SCN-G04-01,星宇,先区分它在说现实，还是在说镜像。,剧情,调查路标后,不可跳过首次,UI-020
DLG-G04-0005,SCN-G04-02,阿镜,我记得自己把信交出去，也记得自己烧掉了它。两个都像真的。,剧情,进入记忆井,不可跳过首次,无
DLG-G04-0006,SCN-G04-02,七码,记忆清晰不代表记忆可靠。来源、时间和旁证至少要有两项。,场景,打开时间轴,可跳过已读,UI-021
DLG-G04-0007,SCN-G04-02,星宇,先验证，再固定。别把一个舒服的错误钉死。,剧情,准备使用铆钉,不可跳过首次,章节主题
DLG-G04-0008,SCN-G04-03,七码,按左，门向右开。按右，门向左开。按停，门开始唱歌。最后一项可能不是规则。,场景,首次测试,可跳过已读,七码错误
DLG-G04-0009,SCN-G04-03,星宇,单步测试。一次只改一个输入。,场景,第一次失败,不可跳过首次,方法提示
DLG-G04-0010,SCN-G04-04,阿镜,峡谷会做出你最想看到的出口。,剧情,进入峡谷,不可跳过首次,无
DLG-G04-0011,SCN-G04-04,星宇,那就不看出口。看风纹、脚印和影子。,剧情,调查诱饵后,不可跳过首次,无
DLG-G04-0012,SCN-G04-05,沙旅人,档案馆不是丢了真相，是把所有版本都当成了真相。,剧情,进入档案馆,不可跳过首次,无
DLG-G04-0013,SCN-G04-05,七码,建议保留矛盾，不要急着删除。矛盾有时比一致更有信息。,场景,发现矛盾片段,不可跳过首次,UI-010
DLG-G04-0014,SCN-G04-06,星宇,诱饵每次都会变，但它们选择目标的方式没变。,剧情,打开案例墙,不可跳过首次,UI-023
DLG-G04-0015,SCN-G04-06,七码,共同特征有三个：亮、近、看起来像答案。非常像我以前的搜索策略。,笑点,提取特征,可跳过,七码错误
DLG-G04-0016,SCN-G04-07,九尾狐,真实会伤人。镜像至少能让每个人保留自己愿意相信的版本。,管理员,阶段0,不可跳过首次,UI-064
DLG-G04-0017,SCN-G04-07,星宇,保留选择可以，但不能把别人困在你的选择里。,管理员,阶段0后,不可跳过首次,无
DLG-G04-0018,SCN-G04-07,阿镜,这是我自己验证过的记忆。它不舒服，但它是我的。,管理员,固定记忆节点完成,不可跳过首次,无
DLG-G04-0019,SCN-G04-07,七码,四项权限正在互相校验。镜像系统第一次需要回答‘依据是什么’。,管理员,四节点完成,不可跳过首次,无
DLG-G04-0020,SCN-G04-07,九尾狐,停止覆盖。停止诱导。开放真实坐标。,管理员,权限解除,不可跳过首次,管理员恢复
DLG-G04-0021,SCN-G04-08,沙旅人,路牌没有消失。它们只是终于写清楚自己属于哪一层。,回访,路标验证,不可跳过首次,无
DLG-G04-0022,SCN-G04-08,阿镜,我还是会怀疑，但现在我知道去哪里查。,回访,记忆井验证,不可跳过首次,无
DLG-G04-0023,SCN-G04-09,九尾狐,我会保留镜像，不再让镜像替代现实。,回访,管理员对话,不可跳过首次,无
DLG-G04-0024,SCN-G04-09,星宇,真相不是最亮的那一个。是能被反复验证的那一个。,结算,回访完成,不可跳过首次,UI-065
DLG-G04-0025,SCN-G04-09,七码,下一站温度很低。我已经准备好保暖方案：减少思考。,结算,章节完成,不可跳过首次,G05钩子
