提示ID,场景ID,机关/任务,提示等级,提示文本,触发条件,效果
HINT-G04-001-1,SCN-G04-01,双层坐标,一级,先判断标记属于现实层还是镜像层。,0次失败,方向提示
HINT-G04-001-2,SCN-G04-01,双层坐标,二级,以坐标碑中心为轴，左右位置需要互换。,1次失败,显示对称轴
HINT-G04-001-3,SCN-G04-01,双层坐标,三级,自动标记一个正确坐标点。,2次失败,完成一步
HINT-G04-002-1,SCN-G04-02,记忆耐久,一级,先找来源和时间，不要先用记忆铆钉。,0次失败,方向提示
HINT-G04-002-2,SCN-G04-02,记忆耐久,二级,两片来自同一来源且时间相邻的碎片可以先连接。,1次失败,高亮可连接碎片
HINT-G04-002-3,SCN-G04-02,记忆耐久,三级,自动完成一条证据连接。,2次失败,完成一步
HINT-G04-003-1,SCN-G04-03,反向输入,一级,一次只测试一个方向。,0次失败,方向提示
HINT-G04-003-2,SCN-G04-03,反向输入,二级,记录输入和反馈，不要凭印象猜整串。,1次失败,显示测试历史
HINT-G04-003-3,SCN-G04-03,反向输入,三级,自动识别一条反向规则。,2次失败,完成一步
HINT-G04-004-1,SCN-G04-04,诱饵峡谷,一级,不要看出口外形，找不会被镜面复制的线索。,0次失败,方向提示
HINT-G04-004-2,SCN-G04-04,诱饵峡谷,二级,真实风纹与影子方向一致。,1次失败,高亮风纹
HINT-G04-004-3,SCN-G04-04,诱饵峡谷,三级,自动放置反光布并削弱干扰。,2次失败,完成一步
HINT-G04-005-1,SCN-G04-05,档案校验,一级,来源一致不代表内容一致，矛盾片段应保留。,0次失败,方向提示
HINT-G04-005-2,SCN-G04-05,档案校验,二级,先按时间排序，再比较同一事件的不同记录。,1次失败,显示时间顺序
HINT-G04-005-3,SCN-G04-05,档案校验,三级,自动放置一张正确档案页。,2次失败,完成一步
HINT-G04-006-1,SCN-G04-06,欺骗预测,一级,诱饵内容会变，选择诱饵目标的规律不会变。,0次失败,方向提示
HINT-G04-006-2,SCN-G04-06,欺骗预测,二级,比较历史案例中‘最亮、最近、最像答案’的共同特征。,1次失败,显示共同特征
HINT-G04-006-3,SCN-G04-06,欺骗预测,三级,自动连接一组案例与共同特征。,2次失败,完成一步
