状态ID,场景ID,状态码,状态名称,进入条件,状态效果,存档规则
SCN-G08-00-S0,SCN-G08-00,S0,初始,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-00-S1,SCN-G08-00,S1,已调查,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-00-S2,SCN-G08-00,S2,关键道具取得,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-00-S3,SCN-G08-00,S3,机关处理中,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-00-S4,SCN-G08-00,S4,危险解除,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-00-S5,SCN-G08-00,S5,场景修复,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-01-S0,SCN-G08-01,S0,初始,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-01-S1,SCN-G08-01,S1,已调查,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-01-S2,SCN-G08-01,S2,关键道具取得,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-01-S3,SCN-G08-01,S3,机关处理中,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-01-S4,SCN-G08-01,S4,危险解除,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-01-S5,SCN-G08-01,S5,场景修复,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-01-S6,SCN-G08-01,S6,章节完成回访,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-02-S0,SCN-G08-02,S0,初始,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-02-S1,SCN-G08-02,S1,已调查,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-02-S2,SCN-G08-02,S2,关键道具取得,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-02-S3,SCN-G08-02,S3,机关处理中,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-02-S4,SCN-G08-02,S4,危险解除,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-02-S5,SCN-G08-02,S5,场景修复,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-02-S6,SCN-G08-02,S6,章节完成回访,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-03-S0,SCN-G08-03,S0,初始,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-03-S1,SCN-G08-03,S1,已调查,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-03-S2,SCN-G08-03,S2,关键道具取得,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-03-S3,SCN-G08-03,S3,机关处理中,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-03-S4,SCN-G08-03,S4,危险解除,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-03-S5,SCN-G08-03,S5,场景修复,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-03-S6,SCN-G08-03,S6,章节完成回访,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-04-S0,SCN-G08-04,S0,初始,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-04-S1,SCN-G08-04,S1,已调查,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-04-S2,SCN-G08-04,S2,关键道具取得,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-04-S3,SCN-G08-04,S3,机关处理中,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-04-S4,SCN-G08-04,S4,危险解除,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-04-S5,SCN-G08-04,S5,场景修复,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-04-S6,SCN-G08-04,S6,章节完成回访,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-05-S0,SCN-G08-05,S0,初始,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-05-S1,SCN-G08-05,S1,已调查,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-05-S2,SCN-G08-05,S2,关键道具取得,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-05-S3,SCN-G08-05,S3,机关处理中,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-05-S4,SCN-G08-05,S4,危险解除,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-05-S5,SCN-G08-05,S5,场景修复,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-05-S6,SCN-G08-05,S6,章节完成回访,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-06-S0,SCN-G08-06,S0,初始,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-06-S1,SCN-G08-06,S1,已调查,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-06-S2,SCN-G08-06,S2,关键道具取得,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-06-S3,SCN-G08-06,S3,机关处理中,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-06-S4,SCN-G08-06,S4,危险解除,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-06-S5,SCN-G08-06,S5,场景修复,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-06-S6,SCN-G08-06,S6,章节完成回访,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-07-S0,SCN-G08-07,S0,初始,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-07-S1,SCN-G08-07,S1,已调查,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-07-S2,SCN-G08-07,S2,关键道具取得,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-07-S3,SCN-G08-07,S3,机关处理中,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-07-S4,SCN-G08-07,S4,危险解除,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-07-S5,SCN-G08-07,S5,场景修复,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-07-S6,SCN-G08-07,S6,章节完成回访,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-08-S0,SCN-G08-08,S0,初始,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-08-S1,SCN-G08-08,S1,已调查,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-08-S2,SCN-G08-08,S2,关键道具取得,由前置变量判断,切换热点、NPC、环境和地图节点,S0/S2/S5/S6持久保存
SCN-G08-08-S3,SCN-G08-08,S3,机关处理中,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
SCN-G08-08-S4,SCN-G08-08,S4,危险解除,由前置变量判断,切换热点、NPC、环境和地图节点,临时状态
