热点ID,场景ID,热点名称,热点类型,操作方式,前置条件,成功结果,错误反馈,完成后状态,目标ID
HS-G08-0001,SCN-G08-00,错过的第一秒-调查证据,调查证据,点击/扫描,进入场景,记录错过的第一秒的关键证据,无,已读,OBJ-G08-001
HS-G08-0002,SCN-G08-00,错过的第一秒-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得错过的第一秒所需工具或证据,提示缩小范围,找物完成,OBJ-G08-001
HS-G08-0003,SCN-G08-00,错过的第一秒-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进错过的第一秒对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G08-001
HS-G08-0004,SCN-G08-00,错过的第一秒-完成确认,完成确认,提交/确认,机制条件全部满足,完成错过的第一秒并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G08-001
HS-G08-0005,SCN-G08-01,三钟广场-调查证据,调查证据,点击/扫描,进入场景,记录三钟广场的关键证据,无,已读,OBJ-G08-002
HS-G08-0006,SCN-G08-01,三钟广场-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得三钟广场所需工具或证据,提示缩小范围,找物完成,OBJ-G08-002
HS-G08-0007,SCN-G08-01,三钟广场-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进三钟广场对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G08-002
HS-G08-0008,SCN-G08-01,三钟广场-完成确认,完成确认,提交/确认,机制条件全部满足,完成三钟广场并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G08-002
HS-G08-0009,SCN-G08-02,行动窗口塔-调查证据,调查证据,点击/扫描,进入场景,记录行动窗口塔的关键证据,无,已读,OBJ-G08-003
HS-G08-0010,SCN-G08-02,行动窗口塔-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得行动窗口塔所需工具或证据,提示缩小范围,找物完成,OBJ-G08-003
HS-G08-0011,SCN-G08-02,行动窗口塔-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进行动窗口塔对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G08-003
HS-G08-0012,SCN-G08-02,行动窗口塔-完成确认,完成确认,提交/确认,机制条件全部满足,完成行动窗口塔并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G08-003
HS-G08-0013,SCN-G08-03,循环档案室-调查证据,调查证据,点击/扫描,进入场景,记录循环档案室的关键证据,无,已读,OBJ-G08-004
HS-G08-0014,SCN-G08-03,循环档案室-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得循环档案室所需工具或证据,提示缩小范围,找物完成,OBJ-G08-004
HS-G08-0015,SCN-G08-03,循环档案室-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进循环档案室对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G08-004
HS-G08-0016,SCN-G08-03,循环档案室-完成确认,完成确认,提交/确认,机制条件全部满足,完成循环档案室并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G08-004
HS-G08-0017,SCN-G08-04,相位门阵-调查证据,调查证据,点击/扫描,进入场景,记录相位门阵的关键证据,无,已读,OBJ-G08-005
HS-G08-0018,SCN-G08-04,相位门阵-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得相位门阵所需工具或证据,提示缩小范围,找物完成,OBJ-G08-005
HS-G08-0019,SCN-G08-04,相位门阵-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进相位门阵对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G08-005
HS-G08-0020,SCN-G08-04,相位门阵-完成确认,完成确认,提交/确认,机制条件全部满足,完成相位门阵并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G08-005
HS-G08-0021,SCN-G08-05,第七次循环-调查证据,调查证据,点击/扫描,进入场景,记录第七次循环的关键证据,无,已读,OBJ-G08-006
HS-G08-0022,SCN-G08-05,第七次循环-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得第七次循环所需工具或证据,提示缩小范围,找物完成,OBJ-G08-006
HS-G08-0023,SCN-G08-05,第七次循环-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进第七次循环对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G08-006
HS-G08-0024,SCN-G08-05,第七次循环-完成确认,完成确认,提交/确认,机制条件全部满足,完成第七次循环并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G08-006
HS-G08-0025,SCN-G08-06,同步维修-调查证据,调查证据,点击/扫描,进入场景,记录同步维修的关键证据,无,已读,OBJ-G08-007
HS-G08-0026,SCN-G08-06,同步维修-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得同步维修所需工具或证据,提示缩小范围,找物完成,OBJ-G08-007
HS-G08-0027,SCN-G08-06,同步维修-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进同步维修对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G08-007
HS-G08-0028,SCN-G08-06,同步维修-完成确认,完成确认,提交/确认,机制条件全部满足,完成同步维修并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G08-007
HS-G08-0029,SCN-G08-07,烛九阴权限解除-调查证据,调查证据,点击/扫描,进入场景,记录烛九阴权限解除的关键证据,无,已读,OBJ-G08-008
HS-G08-0030,SCN-G08-07,烛九阴权限解除-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得烛九阴权限解除所需工具或证据,提示缩小范围,找物完成,OBJ-G08-008
HS-G08-0031,SCN-G08-07,烛九阴权限解除-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进烛九阴权限解除对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G08-008
HS-G08-0032,SCN-G08-07,烛九阴权限解除-完成确认,完成确认,提交/确认,机制条件全部满足,完成烛九阴权限解除并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G08-008
HS-G08-0033,SCN-G08-08,时间恢复-调查证据,调查证据,点击/扫描,进入场景,记录时间恢复的关键证据,无,已读,OBJ-G08-009
HS-G08-0034,SCN-G08-08,时间恢复-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得时间恢复所需工具或证据,提示缩小范围,找物完成,OBJ-G08-009
HS-G08-0035,SCN-G08-08,时间恢复-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进时间恢复对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G08-009
HS-G08-0036,SCN-G08-08,时间恢复-完成确认,完成确认,提交/确认,机制条件全部满足,完成时间恢复并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G08-009
HS-G08-0037,SCN-G08-09,回访与结算-调查证据,调查证据,点击/扫描,进入场景,记录回访与结算的关键证据,无,已读,OBJ-G08-010
HS-G08-0038,SCN-G08-09,回访与结算-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得回访与结算所需工具或证据,提示缩小范围,找物完成,OBJ-G08-010
HS-G08-0039,SCN-G08-09,回访与结算-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进回访与结算对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G08-010
HS-G08-0040,SCN-G08-09,回访与结算-完成确认,完成确认,提交/确认,机制条件全部满足,完成回访与结算并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G08-010
