存档ID,场景ID,触发条件,保存内容,恢复位置
AUTO-G08-001,SCN-G08-00,错过的第一秒完成,场景状态、关键物、机制进度、证据和变量,停摆车站安全点
AUTO-G08-002,SCN-G08-01,三钟广场完成,场景状态、关键物、机制进度、证据和变量,三钟广场安全点
AUTO-G08-003,SCN-G08-02,行动窗口塔完成,场景状态、关键物、机制进度、证据和变量,窗口调度塔安全点
AUTO-G08-004,SCN-G08-03,循环档案室完成,场景状态、关键物、机制进度、证据和变量,循环档案室安全点
AUTO-G08-005,SCN-G08-04,相位门阵完成,场景状态、关键物、机制进度、证据和变量,相位门廊安全点
AUTO-G08-006,SCN-G08-05,第七次循环完成,场景状态、关键物、机制进度、证据和变量,中央循环区安全点
AUTO-G08-007,SCN-G08-06,同步维修完成,场景状态、关键物、机制进度、证据和变量,钟塔机房安全点
AUTO-G08-008,SCN-G08-07,烛九阴权限解除完成,场景状态、关键物、机制进度、证据和变量,时间控制塔安全点
AUTO-G08-009,SCN-G08-08,时间恢复完成,场景状态、关键物、机制进度、证据和变量,城市主钟安全点
AUTO-G08-010,SCN-G08-09,回访与结算完成,场景状态、关键物、机制进度、证据和变量,档案回廊安全点
