道具ID,名称,类别,取得位置,使用热点,用途,消耗规则,归还/归档,备注
ITM-G08-001,周期记录卡,工具/证据/材料,HOS-G08-001,HS-G08-0003,服务于周期、相位、时间窗口、依赖关系和有限记忆相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G08-002,相位针,工具/证据/材料,HOS-G08-001,HS-G08-0006,服务于周期、相位、时间窗口、依赖关系和有限记忆相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G08-003,动作卡组,工具/证据/材料,HOS-G08-001,HS-G08-0009,服务于周期、相位、时间窗口、依赖关系和有限记忆相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G08-004,窗口尺,工具/证据/材料,HOS-G08-002,HS-G08-0012,服务于周期、相位、时间窗口、依赖关系和有限记忆相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G08-005,循环日志芯,工具/证据/材料,HOS-G08-002,HS-G08-0015,服务于周期、相位、时间窗口、依赖关系和有限记忆相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G08-006,证据保留槽,工具/证据/材料,HOS-G08-002,HS-G08-0018,服务于周期、相位、时间窗口、依赖关系和有限记忆相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G08-007,相位钥,工具/证据/材料,HOS-G08-003,HS-G08-0021,服务于周期、相位、时间窗口、依赖关系和有限记忆相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G08-008,摆锤配重,工具/证据/材料,HOS-G08-003,HS-G08-0024,服务于周期、相位、时间窗口、依赖关系和有限记忆相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G08-009,同步齿轮,工具/证据/材料,HOS-G08-003,HS-G08-0027,服务于周期、相位、时间窗口、依赖关系和有限记忆相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G08-010,时间锚,工具/证据/材料,HOS-G08-004,HS-G08-0030,服务于周期、相位、时间窗口、依赖关系和有限记忆相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G08-011,回退记录,工具/证据/材料,SCN-G08-02,HS-G08-0033,服务于周期、相位、时间窗口、依赖关系和有限记忆相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G08-012,烛九阴控制钥,工具/证据/材料,SCN-G08-03,HS-G08-0036,服务于周期、相位、时间窗口、依赖关系和有限记忆相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
