场景ID,场景名称,地点,场景类型,角色,核心目标,下一场景,存档点,关键道具,危险ID,UI引用
SCN-G08-00,错过的第一秒,停摆车站,入场调查,星宇、七码、钟匠秒秒、记录员回回、门卫相位、烛九阴,完成错过的第一秒的调查、找物、机制或权限目标,SCN-G08-01,AUTO-G08-001,周期记录卡,DANGER-038,UI-036
SCN-G08-01,三钟广场,三钟广场,机制推进,星宇、七码、钟匠秒秒、记录员回回、门卫相位、烛九阴,完成三钟广场的调查、找物、机制或权限目标,SCN-G08-02,AUTO-G08-002,相位针,DANGER-039,UI-036
SCN-G08-02,行动窗口塔,窗口调度塔,找物与机制,星宇、七码、钟匠秒秒、记录员回回、门卫相位、烛九阴,完成行动窗口塔的调查、找物、机制或权限目标,SCN-G08-03,AUTO-G08-003,动作卡组,DANGER-040,UI-037
SCN-G08-03,循环档案室,循环档案室,机制推进,星宇、七码、钟匠秒秒、记录员回回、门卫相位、烛九阴,完成循环档案室的调查、找物、机制或权限目标,SCN-G08-04,AUTO-G08-004,窗口尺,DANGER-041,UI-037
SCN-G08-04,相位门阵,相位门廊,找物与机制,星宇、七码、钟匠秒秒、记录员回回、门卫相位、烛九阴,完成相位门阵的调查、找物、机制或权限目标,SCN-G08-05,AUTO-G08-005,循环日志芯,DANGER-042,UI-038
SCN-G08-05,第七次循环,中央循环区,剧情性失败/修正,星宇、七码、钟匠秒秒、记录员回回、门卫相位、烛九阴,完成第七次循环的调查、找物、机制或权限目标,SCN-G08-06,AUTO-G08-006,证据保留槽,DANGER-043,UI-038
SCN-G08-06,同步维修,钟塔机房,机制推进,星宇、七码、钟匠秒秒、记录员回回、门卫相位、烛九阴,完成同步维修的调查、找物、机制或权限目标,SCN-G08-07,AUTO-G08-007,相位钥,DANGER-043,UI-039
SCN-G08-07,烛九阴权限解除,时间控制塔,管理员权限解除,星宇、七码、钟匠秒秒、记录员回回、门卫相位、烛九阴,完成烛九阴权限解除的调查、找物、机制或权限目标,SCN-G08-08,AUTO-G08-008,摆锤配重,DANGER-041/DANGER-042/DANGER-043,UI-072
SCN-G08-08,时间恢复,城市主钟,世界改变/回访,星宇、七码、钟匠秒秒、记录员回回、门卫相位、烛九阴,完成时间恢复的调查、找物、机制或权限目标,SCN-G08-09,AUTO-G08-009,同步齿轮,无,UI-073
SCN-G08-09,回访与结算,档案回廊,世界改变/回访,星宇、七码、钟匠秒秒、记录员回回、门卫相位、烛九阴,完成回访与结算的调查、找物、机制或权限目标,G09,AUTO-G08-010,时间锚,无,UI-073
