对话ID,场景ID,说话者,台词,类型,触发条件,跳过规则,关联
DLG-G08-0001,SCN-G08-00,七码,我们迟到了三秒。或者早到了一个循环。两种说法都不利于导航。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G08-0002,SCN-G08-01,星宇,先测周期，再谈快慢。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G08-0003,SCN-G08-02,秒秒,三座钟都准，只是它们的起点不一样。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G08-0004,SCN-G08-03,回回,每次循环只能留下三条记录。选择忘掉什么，也是任务的一部分。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G08-0005,SCN-G08-04,星宇,先保留能改变下一次行动的证据。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G08-0006,SCN-G08-05,烛九阴,重复能消除错误。只要循环足够久，所有人都会服从正确时刻。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G08-0007,SCN-G08-06,星宇,没有选择的重复，只会把错误磨得更光滑。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G08-0008,SCN-G08-07,烛九阴,停止强制回环。开放相位门与个人时间记录。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G08-0009,SCN-G08-08,钟匠秒秒,钟匠秒秒：关于“时间恢复”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G08-0010,SCN-G08-09,记录员回回,记录员回回：关于“回访与结算”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G08-0011,SCN-G08-00,门卫相位,门卫相位：关于“错过的第一秒”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G08-0012,SCN-G08-01,烛九阴,烛九阴：关于“三钟广场”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G08-0013,SCN-G08-02,星宇,星宇：关于“行动窗口塔”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G08-0014,SCN-G08-03,七码,七码：关于“循环档案室”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G08-0015,SCN-G08-04,钟匠秒秒,星宇在早期循环试图一次完成全部动作，因忽略前置关系导致循环重启；仅保留有限日志。,场景/系统,状态变化时,可跳过已读,无
DLG-G08-0016,SCN-G08-05,记录员回回,记录员回回：关于“第七次循环”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G08-0017,SCN-G08-06,门卫相位,门卫相位：关于“同步维修”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G08-0018,SCN-G08-07,烛九阴,烛九阴：关于“烛九阴权限解除”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G08-0019,SCN-G08-08,星宇,烛九阴的权限节点已完成一项，正确进度被独立保存。,场景/系统,状态变化时,可跳过已读,无
DLG-G08-0020,SCN-G08-09,七码,七码：关于“回访与结算”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G08-0021,SCN-G08-00,钟匠秒秒,钟匠秒秒：关于“错过的第一秒”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G08-0022,SCN-G08-01,记录员回回,记录员回回：关于“三钟广场”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G08-0023,SCN-G08-02,门卫相位,星宇：本章的结论不是一个答案，而是一套能被检查和修正的方法。,场景/系统,状态变化时,可跳过已读,无
DLG-G08-0024,SCN-G08-03,烛九阴,烛九阴：关于“循环档案室”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
