提示ID,场景ID,机关/任务,提示等级,提示文本,触发条件,效果
HINT-G08-001-1,SCN-G08-01,三钟同步,1级,先确认“三钟同步”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G08-001-2,SCN-G08-01,三钟同步,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G08-001-3,SCN-G08-01,三钟同步,3级,自动完成“三钟同步”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G08-002-1,SCN-G08-03,窗口行动链,1级,先确认“窗口行动链”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G08-002-2,SCN-G08-03,窗口行动链,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G08-002-3,SCN-G08-03,窗口行动链,3级,自动完成“窗口行动链”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G08-003-1,SCN-G08-05,循环日志保留,1级,先确认“循环日志保留”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G08-003-2,SCN-G08-05,循环日志保留,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G08-003-3,SCN-G08-05,循环日志保留,3级,自动完成“循环日志保留”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G08-004-1,SCN-G08-07,相位门阵,1级,先确认“相位门阵”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G08-004-2,SCN-G08-07,相位门阵,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G08-004-3,SCN-G08-07,相位门阵,3级,自动完成“相位门阵”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G08-013,SCN-G08-05,剧情性失败复盘,1级,剧情性失败复盘：按证据、前置条件和安全节点逐项处理。,0次失败,方向提示
HINT-G08-014,SCN-G08-05,剧情性失败复盘,2级,剧情性失败复盘：按证据、前置条件和安全节点逐项处理。,1次失败,显示缺失条件
HINT-G08-015,SCN-G08-05,剧情性失败复盘,3级,剧情性失败复盘：按证据、前置条件和安全节点逐项处理。,2次失败,完成一步
HINT-G08-016,SCN-G08-07,烛九阴权限解除,1级,烛九阴权限解除：按证据、前置条件和安全节点逐项处理。,0次失败,方向提示
HINT-G08-017,SCN-G08-07,烛九阴权限解除,2级,烛九阴权限解除：按证据、前置条件和安全节点逐项处理。,1次失败,显示缺失条件
HINT-G08-018,SCN-G08-07,烛九阴权限解除,3级,烛九阴权限解除：按证据、前置条件和安全节点逐项处理。,2次失败,完成一步
