变量ID,变量名,类型,默认值,写入条件,持久性,约束
VAR-G08-001,g08_intro_done,bool,false,首场景完成,保存,无
VAR-G08-002,g08_mech_1_done,bool,false,三钟同步完成,保存,权限条件
VAR-G08-003,g08_mech_2_done,bool,false,窗口行动链完成,保存,权限条件
VAR-G08-004,g08_mech_3_done,bool,false,循环日志保留完成,保存,权限条件
VAR-G08-005,g08_mech_4_done,bool,false,相位门阵完成,保存,权限条件
VAR-G08-006,g08_story_failure_seen,bool,false,剧情性失败发生,保存,必须发生
VAR-G08-007,g08_evidence_1,bool,false,取得或验证证据,保存,无
VAR-G08-008,g08_evidence_2,bool,false,取得或验证证据,保存,无
VAR-G08-009,g08_evidence_3,bool,false,取得或验证证据,保存,无
VAR-G08-010,g08_evidence_4,bool,false,取得或验证证据,保存,无
VAR-G08-011,g08_evidence_5,bool,false,取得或验证证据,保存,无
VAR-G08-012,g08_evidence_6,bool,false,取得或验证证据,保存,无
VAR-G08-013,g08_evidence_7,bool,false,取得或验证证据,保存,无
VAR-G08-014,g08_evidence_8,bool,false,取得或验证证据,保存,无
VAR-G08-015,g08_evidence_9,bool,false,取得或验证证据,保存,无
VAR-G08-016,g08_evidence_10,bool,false,取得或验证证据,保存,无
VAR-G08-017,g08_permission_1,bool,false,管理员权限节点完成,保存,权限1
VAR-G08-018,g08_permission_2,bool,false,管理员权限节点完成,保存,权限2
VAR-G08-019,g08_permission_3,bool,false,管理员权限节点完成,保存,权限3
VAR-G08-020,g08_permission_4,bool,false,管理员权限节点完成,保存,权限4
VAR-G08-021,g08_admin_unlocked,bool,false,管理员权限解除,跨章保存,无
VAR-G08-022,g08_world_change_checks,int,0,世界改变回访,保存,0-3
VAR-G08-023,g08_chapter_complete,bool,false,章节结算,跨章保存,解锁G09
VAR-G08-024,world_star_core_count,int,6,章节完成,跨章保存,完成后+1
VAR-G08-025,player_name,string,星宇,全项目固定,跨章保存,禁止写回小砾
VAR-G08-026,g08_hint_level,int,0,失败次数更新,临时+保存,0-3
VAR-G08-027,g08_last_safe_node,string,无,进入安全节点,保存,恢复位置
VAR-G08-028,g08_inventory_valid,bool,true,每次保存前校验,保存,关键物完整
VAR-G08-029,g08_ending_flag,string,未完成,章节结算,跨章保存,完成/分支
