映射ID,资产ID,资产名称,应用场景,UI,热点/入口,关联危险/机制,说明
MAP-G08-001,MECH-024,三钟同步,SCN-G08-00/SCN-G08-01,UI-036,HS-G08-0001—0008,DANGER-038,机制与场景状态对应
MAP-G08-002,MECH-025,窗口行动链,SCN-G08-02/SCN-G08-03,UI-037,HS-G08-0009—0016,DANGER-039,机制与场景状态对应
MAP-G08-003,MECH-026,循环日志保留,SCN-G08-04/SCN-G08-05,UI-038,HS-G08-0017—0024,DANGER-040,机制与场景状态对应
MAP-G08-004,MECH-027,相位门阵,SCN-G08-06/SCN-G08-07,UI-039,HS-G08-0025—0032,DANGER-041,机制与场景状态对应
MAP-G08-005,UI-072,管理员对话/权限解除,SCN-G08-07,UI-072,HS-G08-0029—0032,DANGER-041/DANGER-042/DANGER-043,替代旧Boss战
MAP-G08-006,UI-073,世界改变/学习结算,SCN-G08-08/SCN-G08-09,UI-073,HS-G08-0033—0040,无,章节结算
MAP-G08-007,DANGER-038,钟摆之城危险1,SCN-G08-00,UI-005/UI-012,HS-G08-0001,关联机制,预警、安全窗口与软重置
MAP-G08-008,DANGER-039,钟摆之城危险2,SCN-G08-01,UI-005/UI-012,HS-G08-0005,关联机制,预警、安全窗口与软重置
MAP-G08-009,DANGER-040,钟摆之城危险3,SCN-G08-02,UI-005/UI-012,HS-G08-0009,关联机制,预警、安全窗口与软重置
MAP-G08-010,DANGER-041,钟摆之城危险4,SCN-G08-03,UI-005/UI-012,HS-G08-0013,关联机制,预警、安全窗口与软重置
MAP-G08-011,DANGER-042,钟摆之城危险5,SCN-G08-04,UI-005/UI-012,HS-G08-0017,关联机制,预警、安全窗口与软重置
MAP-G08-012,DANGER-043,钟摆之城危险6,SCN-G08-05,UI-005/UI-012,HS-G08-0021,关联机制,预警、安全窗口与软重置
