热点ID,场景ID,热点名称,热点类型,操作方式,前置条件,成功结果,错误反馈,完成后状态,目标ID
HS-G09-0001,SCN-G09-00,翻面的降落盘-调查证据,调查证据,点击/扫描,进入场景,记录翻面的降落盘的关键证据,无,已读,OBJ-G09-001
HS-G09-0002,SCN-G09-00,翻面的降落盘-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得翻面的降落盘所需工具或证据,提示缩小范围,找物完成,OBJ-G09-001
HS-G09-0003,SCN-G09-00,翻面的降落盘-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进翻面的降落盘对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G09-001
HS-G09-0004,SCN-G09-00,翻面的降落盘-完成确认,完成确认,提交/确认,机制条件全部满足,完成翻面的降落盘并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G09-001
HS-G09-0005,SCN-G09-01,坐标棋盘-调查证据,调查证据,点击/扫描,进入场景,记录坐标棋盘的关键证据,无,已读,OBJ-G09-002
HS-G09-0006,SCN-G09-01,坐标棋盘-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得坐标棋盘所需工具或证据,提示缩小范围,找物完成,OBJ-G09-002
HS-G09-0007,SCN-G09-01,坐标棋盘-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进坐标棋盘对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G09-002
HS-G09-0008,SCN-G09-01,坐标棋盘-完成确认,完成确认,提交/确认,机制条件全部满足,完成坐标棋盘并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G09-002
HS-G09-0009,SCN-G09-02,能力推演厅-调查证据,调查证据,点击/扫描,进入场景,记录能力推演厅的关键证据,无,已读,OBJ-G09-003
HS-G09-0010,SCN-G09-02,能力推演厅-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得能力推演厅所需工具或证据,提示缩小范围,找物完成,OBJ-G09-003
HS-G09-0011,SCN-G09-02,能力推演厅-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进能力推演厅对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G09-003
HS-G09-0012,SCN-G09-02,能力推演厅-完成确认,完成确认,提交/确认,机制条件全部满足,完成能力推演厅并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G09-003
HS-G09-0013,SCN-G09-03,真假规则馆-调查证据,调查证据,点击/扫描,进入场景,记录真假规则馆的关键证据,无,已读,OBJ-G09-004
HS-G09-0014,SCN-G09-03,真假规则馆-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得真假规则馆所需工具或证据,提示缩小范围,找物完成,OBJ-G09-004
HS-G09-0015,SCN-G09-03,真假规则馆-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进真假规则馆对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G09-004
HS-G09-0016,SCN-G09-03,真假规则馆-完成确认,完成确认,提交/确认,机制条件全部满足,完成真假规则馆并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G09-004
HS-G09-0017,SCN-G09-04,双盘联动桥-调查证据,调查证据,点击/扫描,进入场景,记录双盘联动桥的关键证据,无,已读,OBJ-G09-005
HS-G09-0018,SCN-G09-04,双盘联动桥-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得双盘联动桥所需工具或证据,提示缩小范围,找物完成,OBJ-G09-005
HS-G09-0019,SCN-G09-04,双盘联动桥-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进双盘联动桥对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G09-005
HS-G09-0020,SCN-G09-04,双盘联动桥-完成确认,完成确认,提交/确认,机制条件全部满足,完成双盘联动桥并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G09-005
HS-G09-0021,SCN-G09-05,错误必胜路线-调查证据,调查证据,点击/扫描,进入场景,记录错误必胜路线的关键证据,无,已读,OBJ-G09-006
HS-G09-0022,SCN-G09-05,错误必胜路线-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得错误必胜路线所需工具或证据,提示缩小范围,找物完成,OBJ-G09-006
HS-G09-0023,SCN-G09-05,错误必胜路线-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进错误必胜路线对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G09-006
HS-G09-0024,SCN-G09-05,错误必胜路线-完成确认,完成确认,提交/确认,机制条件全部满足,完成错误必胜路线并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G09-006
HS-G09-0025,SCN-G09-06,同步解锁-调查证据,调查证据,点击/扫描,进入场景,记录同步解锁的关键证据,无,已读,OBJ-G09-007
HS-G09-0026,SCN-G09-06,同步解锁-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得同步解锁所需工具或证据,提示缩小范围,找物完成,OBJ-G09-007
HS-G09-0027,SCN-G09-06,同步解锁-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进同步解锁对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G09-007
HS-G09-0028,SCN-G09-06,同步解锁-完成确认,完成确认,提交/确认,机制条件全部满足,完成同步解锁并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G09-007
HS-G09-0029,SCN-G09-07,刑天权限解除-调查证据,调查证据,点击/扫描,进入场景,记录刑天权限解除的关键证据,无,已读,OBJ-G09-008
HS-G09-0030,SCN-G09-07,刑天权限解除-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得刑天权限解除所需工具或证据,提示缩小范围,找物完成,OBJ-G09-008
HS-G09-0031,SCN-G09-07,刑天权限解除-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进刑天权限解除对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G09-008
HS-G09-0032,SCN-G09-07,刑天权限解除-完成确认,完成确认,提交/确认,机制条件全部满足,完成刑天权限解除并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G09-008
HS-G09-0033,SCN-G09-08,棋阵恢复-调查证据,调查证据,点击/扫描,进入场景,记录棋阵恢复的关键证据,无,已读,OBJ-G09-009
HS-G09-0034,SCN-G09-08,棋阵恢复-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得棋阵恢复所需工具或证据,提示缩小范围,找物完成,OBJ-G09-009
HS-G09-0035,SCN-G09-08,棋阵恢复-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进棋阵恢复对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G09-009
HS-G09-0036,SCN-G09-08,棋阵恢复-完成确认,完成确认,提交/确认,机制条件全部满足,完成棋阵恢复并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G09-009
HS-G09-0037,SCN-G09-09,回访与结算-调查证据,调查证据,点击/扫描,进入场景,记录回访与结算的关键证据,无,已读,OBJ-G09-010
HS-G09-0038,SCN-G09-09,回访与结算-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得回访与结算所需工具或证据,提示缩小范围,找物完成,OBJ-G09-010
HS-G09-0039,SCN-G09-09,回访与结算-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进回访与结算对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G09-010
HS-G09-0040,SCN-G09-09,回访与结算-完成确认,完成确认,提交/确认,机制条件全部满足,完成回访与结算并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G09-010
