对话ID,场景ID,说话者,台词,类型,触发条件,跳过规则,关联
DLG-G09-0001,SCN-G09-00,七码,坐标没有错，棋盘翻面了。严格来说，是我们站在了坐标背面。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G09-0002,SCN-G09-01,星宇,先标原点和轴，再移动棋子。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G09-0003,SCN-G09-02,步步,每枚棋子都有自己的走法，不能把一种能力当成全部规则。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G09-0004,SCN-G09-03,理理,一条规则看起来正确，不代表找不到反例。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G09-0005,SCN-G09-04,星宇,先试着证明它错，再决定是否相信它。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G09-0006,SCN-G09-05,刑天,最优路线必须唯一。所有偏离都是失败。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G09-0007,SCN-G09-06,星宇,规则能被检验，路线也可以有多个合法解。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G09-0008,SCN-G09-07,刑天,开放双盘映射。保留反例与路线历史。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G09-0009,SCN-G09-08,棋手步步,棋手步步：关于“棋阵恢复”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G09-0010,SCN-G09-09,档案员理理,档案员理理：关于“回访与结算”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G09-0011,SCN-G09-00,双盘守卫映映,双盘守卫映映：关于“翻面的降落盘”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G09-0012,SCN-G09-01,刑天,刑天：关于“坐标棋盘”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G09-0013,SCN-G09-02,星宇,星宇：关于“能力推演厅”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G09-0014,SCN-G09-03,七码,七码：关于“真假规则馆”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G09-0015,SCN-G09-04,棋手步步,星宇相信一条“必胜路线”，未寻找反例，导致棋子进入禁区；路线历史保留用于逻辑校正。,场景/系统,状态变化时,可跳过已读,无
DLG-G09-0016,SCN-G09-05,档案员理理,档案员理理：关于“错误必胜路线”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G09-0017,SCN-G09-06,双盘守卫映映,双盘守卫映映：关于“同步解锁”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G09-0018,SCN-G09-07,刑天,刑天：关于“刑天权限解除”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G09-0019,SCN-G09-08,星宇,刑天的权限节点已完成一项，正确进度被独立保存。,场景/系统,状态变化时,可跳过已读,无
DLG-G09-0020,SCN-G09-09,七码,七码：关于“回访与结算”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G09-0021,SCN-G09-00,棋手步步,棋手步步：关于“翻面的降落盘”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G09-0022,SCN-G09-01,档案员理理,档案员理理：关于“坐标棋盘”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G09-0023,SCN-G09-02,双盘守卫映映,星宇：本章的结论不是一个答案，而是一套能被检查和修正的方法。,场景/系统,状态变化时,可跳过已读,无
DLG-G09-0024,SCN-G09-03,刑天,刑天：关于“真假规则馆”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
