变量ID,变量名,类型,默认值,写入条件,持久性,约束
VAR-G09-001,g09_intro_done,bool,false,首场景完成,保存,无
VAR-G09-002,g09_mech_1_done,bool,false,翻面坐标盘完成,保存,权限条件
VAR-G09-003,g09_mech_2_done,bool,false,棋子能力推演完成,保存,权限条件
VAR-G09-004,g09_mech_3_done,bool,false,真假规则链完成,保存,权限条件
VAR-G09-005,g09_mech_4_done,bool,false,双盘同步完成,保存,权限条件
VAR-G09-006,g09_story_failure_seen,bool,false,剧情性失败发生,保存,必须发生
VAR-G09-007,g09_evidence_1,bool,false,取得或验证证据,保存,无
VAR-G09-008,g09_evidence_2,bool,false,取得或验证证据,保存,无
VAR-G09-009,g09_evidence_3,bool,false,取得或验证证据,保存,无
VAR-G09-010,g09_evidence_4,bool,false,取得或验证证据,保存,无
VAR-G09-011,g09_evidence_5,bool,false,取得或验证证据,保存,无
VAR-G09-012,g09_evidence_6,bool,false,取得或验证证据,保存,无
VAR-G09-013,g09_evidence_7,bool,false,取得或验证证据,保存,无
VAR-G09-014,g09_evidence_8,bool,false,取得或验证证据,保存,无
VAR-G09-015,g09_evidence_9,bool,false,取得或验证证据,保存,无
VAR-G09-016,g09_evidence_10,bool,false,取得或验证证据,保存,无
VAR-G09-017,g09_permission_1,bool,false,管理员权限节点完成,保存,权限1
VAR-G09-018,g09_permission_2,bool,false,管理员权限节点完成,保存,权限2
VAR-G09-019,g09_permission_3,bool,false,管理员权限节点完成,保存,权限3
VAR-G09-020,g09_permission_4,bool,false,管理员权限节点完成,保存,权限4
VAR-G09-021,g09_admin_unlocked,bool,false,管理员权限解除,跨章保存,无
VAR-G09-022,g09_world_change_checks,int,0,世界改变回访,保存,0-3
VAR-G09-023,g09_chapter_complete,bool,false,章节结算,跨章保存,解锁G10
VAR-G09-024,world_star_core_count,int,7,章节完成,跨章保存,完成后+1
VAR-G09-025,player_name,string,星宇,全项目固定,跨章保存,禁止写回小砾
VAR-G09-026,g09_hint_level,int,0,失败次数更新,临时+保存,0-3
VAR-G09-027,g09_last_safe_node,string,无,进入安全节点,保存,恢复位置
VAR-G09-028,g09_inventory_valid,bool,true,每次保存前校验,保存,关键物完整
VAR-G09-029,g09_ending_flag,string,未完成,章节结算,跨章保存,完成/分支
