场景ID,场景名称,地点,场景类型,角色,核心目标,下一场景,存档点,关键道具,危险ID,UI引用
SCN-G09-00,翻面的降落盘,卫星落点盘,入场调查,星宇、七码、棋手步步、档案员理理、双盘守卫映映、刑天,完成翻面的降落盘的调查、找物、机制或权限目标,SCN-G09-01,AUTO-G09-001,坐标棋子,DANGER-044,UI-040
SCN-G09-01,坐标棋盘,主棋盘广场,机制推进,星宇、七码、棋手步步、档案员理理、双盘守卫映映、刑天,完成坐标棋盘的调查、找物、机制或权限目标,SCN-G09-02,AUTO-G09-002,翻转轴片,DANGER-045,UI-040
SCN-G09-02,能力推演厅,棋子训练厅,找物与机制,星宇、七码、棋手步步、档案员理理、双盘守卫映映、刑天,完成能力推演厅的调查、找物、机制或权限目标,SCN-G09-03,AUTO-G09-003,移动规则卡,DANGER-046,UI-041
SCN-G09-03,真假规则馆,规则档案馆,机制推进,星宇、七码、棋手步步、档案员理理、双盘守卫映映、刑天,完成真假规则馆的调查、找物、机制或权限目标,SCN-G09-04,AUTO-G09-004,路线标记,DANGER-047,UI-041
SCN-G09-04,双盘联动桥,双盘联动桥,找物与机制,星宇、七码、棋手步步、档案员理理、双盘守卫映映、刑天,完成双盘联动桥的调查、找物、机制或权限目标,SCN-G09-05,AUTO-G09-005,逻辑前提牌,DANGER-048,UI-042
SCN-G09-05,错误必胜路线,禁区棋盘,剧情性失败/修正,星宇、七码、棋手步步、档案员理理、双盘守卫映映、刑天,完成错误必胜路线的调查、找物、机制或权限目标,SCN-G09-06,AUTO-G09-006,结论牌,DANGER-049,UI-042
SCN-G09-06,同步解锁,同步核心,机制推进,星宇、七码、棋手步步、档案员理理、双盘守卫映映、刑天,完成同步解锁的调查、找物、机制或权限目标,SCN-G09-07,AUTO-G09-007,反例标记,DANGER-049,UI-043
SCN-G09-07,刑天权限解除,刑天控制台,管理员权限解除,星宇、七码、棋手步步、档案员理理、双盘守卫映映、刑天,完成刑天权限解除的调查、找物、机制或权限目标,SCN-G09-08,AUTO-G09-008,双盘映射片,DANGER-047/DANGER-048/DANGER-049,UI-074
SCN-G09-08,棋阵恢复,卫星主轴,世界改变/回访,星宇、七码、棋手步步、档案员理理、双盘守卫映映、刑天,完成棋阵恢复的调查、找物、机制或权限目标,SCN-G09-09,AUTO-G09-009,同步销,无,UI-075
SCN-G09-09,回访与结算,规则广场,世界改变/回访,星宇、七码、棋手步步、档案员理理、双盘守卫映映、刑天,完成回访与结算的调查、找物、机制或权限目标,G10,AUTO-G09-010,禁区旗,无,UI-075
