映射ID,资产ID,资产名称,应用场景,UI,热点/入口,关联危险/机制,说明
MAP-G09-001,MECH-028,翻面坐标盘,SCN-G09-00/SCN-G09-01,UI-040,HS-G09-0001—0008,DANGER-044,机制与场景状态对应
MAP-G09-002,MECH-029,棋子能力推演,SCN-G09-02/SCN-G09-03,UI-041,HS-G09-0009—0016,DANGER-045,机制与场景状态对应
MAP-G09-003,MECH-030,真假规则链,SCN-G09-04/SCN-G09-05,UI-042,HS-G09-0017—0024,DANGER-046,机制与场景状态对应
MAP-G09-004,MECH-031,双盘同步,SCN-G09-06/SCN-G09-07,UI-043,HS-G09-0025—0032,DANGER-047,机制与场景状态对应
MAP-G09-005,UI-074,管理员对话/权限解除,SCN-G09-07,UI-074,HS-G09-0029—0032,DANGER-047/DANGER-048/DANGER-049,替代旧Boss战
MAP-G09-006,UI-075,世界改变/学习结算,SCN-G09-08/SCN-G09-09,UI-075,HS-G09-0033—0040,无,章节结算
MAP-G09-007,DANGER-044,棋阵卫星危险1,SCN-G09-00,UI-005/UI-012,HS-G09-0001,关联机制,预警、安全窗口与软重置
MAP-G09-008,DANGER-045,棋阵卫星危险2,SCN-G09-01,UI-005/UI-012,HS-G09-0005,关联机制,预警、安全窗口与软重置
MAP-G09-009,DANGER-046,棋阵卫星危险3,SCN-G09-02,UI-005/UI-012,HS-G09-0009,关联机制,预警、安全窗口与软重置
MAP-G09-010,DANGER-047,棋阵卫星危险4,SCN-G09-03,UI-005/UI-012,HS-G09-0013,关联机制,预警、安全窗口与软重置
MAP-G09-011,DANGER-048,棋阵卫星危险5,SCN-G09-04,UI-005/UI-012,HS-G09-0017,关联机制,预警、安全窗口与软重置
MAP-G09-012,DANGER-049,棋阵卫星危险6,SCN-G09-05,UI-005/UI-012,HS-G09-0021,关联机制,预警、安全窗口与软重置
