存档ID,场景ID,触发条件,保存内容,恢复位置
AUTO-G09-001,SCN-G09-00,翻面的降落盘完成,场景状态、关键物、机制进度、证据和变量,卫星落点盘安全点
AUTO-G09-002,SCN-G09-01,坐标棋盘完成,场景状态、关键物、机制进度、证据和变量,主棋盘广场安全点
AUTO-G09-003,SCN-G09-02,能力推演厅完成,场景状态、关键物、机制进度、证据和变量,棋子训练厅安全点
AUTO-G09-004,SCN-G09-03,真假规则馆完成,场景状态、关键物、机制进度、证据和变量,规则档案馆安全点
AUTO-G09-005,SCN-G09-04,双盘联动桥完成,场景状态、关键物、机制进度、证据和变量,双盘联动桥安全点
AUTO-G09-006,SCN-G09-05,错误必胜路线完成,场景状态、关键物、机制进度、证据和变量,禁区棋盘安全点
AUTO-G09-007,SCN-G09-06,同步解锁完成,场景状态、关键物、机制进度、证据和变量,同步核心安全点
AUTO-G09-008,SCN-G09-07,刑天权限解除完成,场景状态、关键物、机制进度、证据和变量,刑天控制台安全点
AUTO-G09-009,SCN-G09-08,棋阵恢复完成,场景状态、关键物、机制进度、证据和变量,卫星主轴安全点
AUTO-G09-010,SCN-G09-09,回访与结算完成,场景状态、关键物、机制进度、证据和变量,规则广场安全点
