道具ID,名称,类别,取得位置,使用热点,用途,消耗规则,归还/归档,备注
ITM-G09-001,坐标棋子,工具/证据/材料,HOS-G09-001,HS-G09-0003,服务于坐标变换、移动规则、逻辑反例和双系统映射相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G09-002,翻转轴片,工具/证据/材料,HOS-G09-001,HS-G09-0006,服务于坐标变换、移动规则、逻辑反例和双系统映射相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G09-003,移动规则卡,工具/证据/材料,HOS-G09-001,HS-G09-0009,服务于坐标变换、移动规则、逻辑反例和双系统映射相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G09-004,路线标记,工具/证据/材料,HOS-G09-002,HS-G09-0012,服务于坐标变换、移动规则、逻辑反例和双系统映射相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G09-005,逻辑前提牌,工具/证据/材料,HOS-G09-002,HS-G09-0015,服务于坐标变换、移动规则、逻辑反例和双系统映射相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G09-006,结论牌,工具/证据/材料,HOS-G09-002,HS-G09-0018,服务于坐标变换、移动规则、逻辑反例和双系统映射相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G09-007,反例标记,工具/证据/材料,HOS-G09-003,HS-G09-0021,服务于坐标变换、移动规则、逻辑反例和双系统映射相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G09-008,双盘映射片,工具/证据/材料,HOS-G09-003,HS-G09-0024,服务于坐标变换、移动规则、逻辑反例和双系统映射相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G09-009,同步销,工具/证据/材料,HOS-G09-003,HS-G09-0027,服务于坐标变换、移动规则、逻辑反例和双系统映射相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G09-010,禁区旗,工具/证据/材料,HOS-G09-004,HS-G09-0030,服务于坐标变换、移动规则、逻辑反例和双系统映射相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G09-011,规则档案页,工具/证据/材料,SCN-G09-02,HS-G09-0033,服务于坐标变换、移动规则、逻辑反例和双系统映射相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G09-012,刑天控制钥,工具/证据/材料,SCN-G09-03,HS-G09-0036,服务于坐标变换、移动规则、逻辑反例和双系统映射相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
