提示ID,场景ID,机关/任务,提示等级,提示文本,触发条件,效果
HINT-G09-001-1,SCN-G09-01,翻面坐标盘,1级,先确认“翻面坐标盘”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G09-001-2,SCN-G09-01,翻面坐标盘,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G09-001-3,SCN-G09-01,翻面坐标盘,3级,自动完成“翻面坐标盘”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G09-002-1,SCN-G09-03,棋子能力推演,1级,先确认“棋子能力推演”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G09-002-2,SCN-G09-03,棋子能力推演,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G09-002-3,SCN-G09-03,棋子能力推演,3级,自动完成“棋子能力推演”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G09-003-1,SCN-G09-05,真假规则链,1级,先确认“真假规则链”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G09-003-2,SCN-G09-05,真假规则链,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G09-003-3,SCN-G09-05,真假规则链,3级,自动完成“真假规则链”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G09-004-1,SCN-G09-07,双盘同步,1级,先确认“双盘同步”中的已知条件与目标，不要直接试答案。,0次失败,方向提示
HINT-G09-004-2,SCN-G09-07,双盘同步,2级,把数据按类别、顺序或约束拆开检查，错误项会保留供比较。,1次失败,区域提示
HINT-G09-004-3,SCN-G09-07,双盘同步,3级,自动完成“双盘同步”的一步，并保留最后确认给玩家。,2次失败,完成一步
HINT-G09-013,SCN-G09-05,剧情性失败复盘,1级,剧情性失败复盘：按证据、前置条件和安全节点逐项处理。,0次失败,方向提示
HINT-G09-014,SCN-G09-05,剧情性失败复盘,2级,剧情性失败复盘：按证据、前置条件和安全节点逐项处理。,1次失败,显示缺失条件
HINT-G09-015,SCN-G09-05,剧情性失败复盘,3级,剧情性失败复盘：按证据、前置条件和安全节点逐项处理。,2次失败,完成一步
HINT-G09-016,SCN-G09-07,刑天权限解除,1级,刑天权限解除：按证据、前置条件和安全节点逐项处理。,0次失败,方向提示
HINT-G09-017,SCN-G09-07,刑天权限解除,2级,刑天权限解除：按证据、前置条件和安全节点逐项处理。,1次失败,显示缺失条件
HINT-G09-018,SCN-G09-07,刑天权限解除,3级,刑天权限解除：按证据、前置条件和安全节点逐项处理。,2次失败,完成一步
