变量ID,变量名,类型,默认值,写入条件,持久性,约束
VAR-G03-001,g03_kaka_rescued,bool,false,救援完成,保存,无
VAR-G03-002,g03_reverse_belt_scanned,bool,false,扫描控制箱,保存,无
VAR-G03-003,g03_need_cards_count,int,0,验证需求卡,保存,0-4
VAR-G03-004,g03_average_split_failed,bool,false,首次平均分配,保存,必须发生
VAR-G03-005,g03_real_demand_table,bool,false,UI-016完成,保存,权限条件
VAR-G03-006,g03_cargo_labels_restored,bool,false,UI-017完成,保存,无
VAR-G03-007,g03_true_order_found,bool,false,取得真实发货单,保存,无
VAR-G03-008,g03_fake_order_created,bool,false,干扰订单生成,保存,权限条件
VAR-G03-009,g03_evacuated_people,int,0,撤离节点完成,保存,0-4
VAR-G03-010,g03_emergency_cargo_secured,bool,false,固定急救货箱,保存,无
VAR-G03-011,g03_belt_direction_fixed,bool,false,方向齿轮完成,保存,无
VAR-G03-012,g03_belt_speed_safe,bool,false,带速进入安全区,保存,无
VAR-G03-013,g03_diverters_fixed,int,0,四区分流完成,保存,0-4
VAR-G03-014,g03_safety_pin_installed,bool,false,保险销安装,保存,无
VAR-G03-015,g03_permission_demand,bool,false,需求节点完成,保存,管理员权限1
VAR-G03-016,g03_permission_order,bool,false,订单节点完成,保存,管理员权限2
VAR-G03-017,g03_permission_logistics,bool,false,运输节点完成,保存,管理员权限3
VAR-G03-018,g03_permission_allocation,bool,false,分配节点完成,保存,管理员权限4
VAR-G03-019,g03_hunger_controller_off,bool,false,控制器维修完成,保存,无
VAR-G03-020,g03_admin_unlocked,bool,false,权限解除,跨章保存,无
VAR-G03-021,g03_minimum_medical,int,0,公开分配,保存,必须达阈值
VAR-G03-022,g03_minimum_heating,int,0,公开分配,保存,必须达阈值
VAR-G03-023,g03_production_allocated,int,0,公开分配,保存,不得超总量
VAR-G03-024,g03_reserve_allocated,int,0,公开分配,保存,不得低于阈值
VAR-G03-025,g03_public_plan_published,bool,false,UI-019完成,跨章保存,无
VAR-G03-026,g03_return_checks,int,0,三项回访,保存,0-3
VAR-G03-027,g03_chapter_complete,bool,false,回访完成,跨章保存,解锁G04
VAR-G03-028,world_star_core_count,int,1,章节结算,跨章保存,完成后+1
VAR-G03-029,player_name,string,星宇,全项目固定,跨章保存,禁止写回小砾
