提示ID,场景ID,机关/任务,提示等级,提示文本,触发条件,效果
HINT-G03-001-1,SCN-G03-01,真实需求表,一级,先确认每个工坊缺什么，以及不补会发生什么。,0次失败,方向提示
HINT-G03-001-2,SCN-G03-01,真实需求表,二级,急救、供暖、生产和装饰的优先级不能只看人数。,1次失败,缩小比较范围
HINT-G03-001-3,SCN-G03-01,真实需求表,三级,自动验证一张需求卡。,2次失败,完成一步
HINT-G03-002-1,SCN-G03-03,标签校验,一级,同一个货箱要同时对照标签、货物和订单。,0次失败,方向提示
HINT-G03-002-2,SCN-G03-03,标签校验,二级,急救弹簧的标签与真实发货单编号一致。,1次失败,高亮对应字段
HINT-G03-002-3,SCN-G03-03,标签校验,三级,自动完成一组货箱与标签配对。,2次失败,完成一步
HINT-G03-003-1,SCN-G03-04,干扰订单,一级,原稿、覆盖层和印章时间必须能互相解释。,0次失败,方向提示
HINT-G03-003-2,SCN-G03-04,干扰订单,二级,先恢复原始字段，再加入中央回收命令。,1次失败,显示顺序
HINT-G03-003-3,SCN-G03-04,干扰订单,三级,自动放置一个正确字段。,2次失败,完成一步
HINT-G03-004-1,SCN-G03-05,安全撤离,一级,出口会移动，安全节点不会。,0次失败,方向提示
HINT-G03-004-2,SCN-G03-05,安全撤离,二级,先打开分流门，再固定急救货箱。,1次失败,高亮门和固定点
HINT-G03-004-3,SCN-G03-05,安全撤离,三级,自动打开第一道安全分流门。,2次失败,完成一步
HINT-G03-005-1,SCN-G03-06,传送带逆行,一级,先调方向，再调速度，最后设置分流门。,0次失败,方向提示
HINT-G03-005-2,SCN-G03-06,传送带逆行,二级,速度进入安全区后才能安装保险销。,1次失败,显示安全带速
HINT-G03-005-3,SCN-G03-06,传送带逆行,三级,自动校正一个方向齿轮。,2次失败,完成一步
HINT-G03-006-1,SCN-G03-08,公开分配会,一级,先锁定最低保障，再安排生产和储备。,0次失败,方向提示
HINT-G03-006-2,SCN-G03-08,公开分配会,二级,急救与供暖未达最低量时方案不能提交。,1次失败,显示缺口
HINT-G03-006-3,SCN-G03-08,公开分配会,三级,自动补足一个最低保障项目。,2次失败,完成一步
