道具ID,名称,类别,取得位置,使用热点,用途,消耗规则,归还/归档,备注
ITM-G03-001,磁力手套,跨章工具,G02继承,救援/固定/维修热点,磁性牵引与短脉冲,不消耗,继续携带,本章后轻度磨损
ITM-G03-002,需求卡-弹簧区,证据,SCN-G03-01,UI-016/权限节点,记录急救缺口,不消耗,证据归档,无
ITM-G03-003,需求卡-布区,证据,SCN-G03-01,UI-016/权限节点,记录低需求与囤积,不消耗,证据归档,无
ITM-G03-004,需求卡-齿轮区,证据,SCN-G03-01,UI-016/权限节点,记录停工需求,不消耗,证据归档,无
ITM-G03-005,方盒姨账本页,证据,SCN-G03-01,UI-016,历史出库对照,不消耗,证据归档,无
ITM-G03-006,真实需求表,任务证据,SCN-G03-02,UI-062/UI-019,解除需求夸大并支持分配,不消耗,跨场景保留,关键证据
ITM-G03-007,急救弹簧,任务物,HOS-G03-001,回访配送台,救援与最低保障,不消耗,送达医疗区,不可错误分配
ITM-G03-008,供暖齿轮,任务物,HOS-G03-002,公开分配桌,供暖最低保障,不消耗,送达供暖区,无
ITM-G03-009,布卷,资源物,HOS-G03-003,公开分配桌,装饰工坊生产,不消耗,送达布区,低优先级
ITM-G03-010,货箱标签组,证据,三处找物,标签校验台,恢复货箱归属,使用后嵌入,保留场景,错误使用退回
ITM-G03-011,真实发货单,证据,HOS-G03-003,订单排版台/权限节点,证明订单被改写,不消耗,证据归档,关键证据
ITM-G03-012,印章片,证据组件,HOS-G03-003,印章时间盘,恢复印章时间,使用后嵌入,保留场景,无
ITM-G03-013,油墨滚轮,工具,HOS-G03-004,超级订单排版台,印制干扰订单,不消耗,归还印刷台,无
ITM-G03-014,中央回收章,工具组件,HOS-G03-004,超级订单排版台,生成中央回收命令,使用后嵌入,保留场景,剧情限定
ITM-G03-015,干扰订单,任务证据,SCN-G03-04,管理员订单节点,诱导控制器暴露矛盾,不消耗,证据归档,不可用于居民分配
ITM-G03-016,紧急分流柄,工具,HOS-G03-005,分流门A/B,开放安全路线,不消耗,继续用于维修,无
ITM-G03-017,固定索,工具,HOS-G03-005,关键货箱固定点,固定货箱,使用后安装,保留场景,无
ITM-G03-018,导向齿轮,机械件,HOS-G03-005,主传动轴,恢复方向机构,使用后安装,保留设备,无
ITM-G03-019,保险销,机械件,HOS-G03-005,保险销槽,锁定传送带,使用后安装,保留设备,关键防卡死件
ITM-G03-020,公开分配方案,任务证据,SCN-G03-08,管理员分配节点/结算,证明人工协商有效,不消耗,跨章档案,章节核心成果
