映射ID,资产ID,资产名称,应用场景,UI,热点/入口,关联危险/机制,说明
MAP-G03-001,MECH-004,真实需求表,SCN-G03-01/02,UI-016,HS-G03-0008/0009,DANGER-008,需求归并与优先级
MAP-G03-002,MECH-005,订单欺骗,SCN-G03-03/04,UI-017,HS-G03-0015/0020,DANGER-010/011,订单取证与干扰订单
MAP-G03-003,MECH-006,传送带逆行,SCN-G03-05/06,UI-018,HS-G03-0022—0030,DANGER-012/013,方向、速度与分流
MAP-G03-004,MECH-007,公开分配会,SCN-G03-08,UI-019,HS-G03-0036—0039,DANGER-008,最低保障与储备
MAP-G03-005,UI-062,管理员权限解除,SCN-G03-07,UI-062,HS-G03-0031—0035,MECH-004—007,替代旧Boss战
MAP-G03-006,UI-063,世界改变/学习结算,SCN-G03-09,UI-063,HS-G03-0040—0042,无,章节结算
MAP-G03-007,DANGER-007,码头传送带逆行,SCN-G03-00,UI-005/UI-012,HS-G03-0001/0002,MECH-006,入场救援
MAP-G03-008,DANGER-008,仓库争抢拥堵,SCN-G03-01/08,UI-016/UI-019,仓库门前/分配桌,MECH-004/007,资源冲突
MAP-G03-009,DANGER-009,缺口盘传送误判,SCN-G03-02,UI-016,HS-G03-0009,MECH-004,错误需求判定
MAP-G03-010,DANGER-010,腹仓货箱错投,SCN-G03-03,UI-017,HS-G03-0012—0016,MECH-005,标签错位
MAP-G03-011,DANGER-011,印刷台字段覆盖,SCN-G03-04,UI-017,HS-G03-0017—0020,MECH-005,订单覆盖风险
MAP-G03-012,DANGER-012,腹仓逐层闭合,SCN-G03-05,UI-005/UI-012,HS-G03-0021—0025,MECH-006,安全节点撤离
MAP-G03-013,DANGER-013,传送带带速失控,SCN-G03-06,UI-018/UI-012,HS-G03-0026—0030,MECH-006,过速保护
