场景ID,场景名称,地点,场景类型,角色,核心目标,下一场景,存档点,关键道具,危险ID,UI引用
SCN-G03-00,落货码头的空箱,落货码头,入场救援,星宇、七码、卡卡,救下卡卡并确认反向传送带异常,SCN-G03-01,AUTO-G03-001,磁力手套,DANGER-007,UI-005
SCN-G03-01,平均分配引发的争斗,四工坊仓库门前,需求调查,星宇、七码、方盒姨、四工匠,识别平均分配导致的真实缺口,SCN-G03-02,AUTO-G03-002,需求卡、库存标签,DANGER-008,UI-016
SCN-G03-02,会吃人的缺口宴席,缺口宴席台,规则核验,星宇、七码、四工匠、饕餮,证明四区需求不相同并建立需求表,SCN-G03-03,AUTO-G03-003,真实需求表,DANGER-009,UI-016/UI-062
SCN-G03-03,标签全错的第一腹仓,饕餮第一腹仓,找物与分类,星宇、七码、卡卡,恢复货箱真实归属与运输目标,SCN-G03-04,AUTO-G03-004,货箱标签、急救弹簧,DANGER-010,UI-017
SCN-G03-04,伪造超级订单,移动印刷台,文书取证,星宇、七码,恢复订单改写层并制作干扰订单,SCN-G03-05,AUTO-G03-005,订单原稿、印章片、油墨滚轮,DANGER-011,UI-017
SCN-G03-05,腹仓收缩安全撤离,饕餮三层腹仓,时间窗口路线,星宇、七码、卡卡,在闭合窗口中转移人员和关键货箱,SCN-G03-06,AUTO-G03-006,导向齿轮、紧急分流柄,DANGER-012,UI-018
SCN-G03-06,传送带逆行修复,中央输送脊柱,机制维修,星宇、七码、方盒姨,调整齿轮、带速和分流门恢复物流,SCN-G03-07,AUTO-G03-007,传动齿轮、保险销,DANGER-013,UI-018
SCN-G03-07,管理员权限解除,饕餮控制室,综合权限核验,星宇、七码、四工匠、方盒姨、饕餮,以需求、订单、运输和公开分配解除控制,SCN-G03-08,AUTO-G03-008,全部关键证据,DANGER-008/011/013,UI-062
SCN-G03-08,第一次公开分配会,中央仓库大厅,资源协商,星宇、七码、方盒姨、四工匠、居民,完成最低保障、生产需求和储备分配,SCN-G03-09,AUTO-G03-009,资源块、需求表,无,UI-019
SCN-G03-09,归还与结算,四工坊与码头,回访结算,星宇、七码、卡卡、饕餮,验证生活变化并完成章节结算,G04,AUTO-G03-010,借用工具归还,无,UI-063
