存档ID,场景ID,触发条件,保存内容,恢复位置
AUTO-G03-001,SCN-G03-00,救下卡卡并扫描控制箱,场景状态、证据、救援结果,码头安全点
AUTO-G03-002,SCN-G03-01,真实需求调查完成,需求卡、账本、平均分配失败状态,仓库大厅
AUTO-G03-003,SCN-G03-02,真实需求表完成,需求表、四盘状态,宴席台出口
AUTO-G03-004,SCN-G03-03,标签校验完成,找物结果、货箱归属、传动齿轮,第一腹仓出口
AUTO-G03-005,SCN-G03-04,干扰订单完成,原稿、印章时间、干扰订单,移动印刷台
AUTO-G03-006,SCN-G03-05,安全撤离完成,分流门、货箱固定、撤离顺序,腹仓安全舱
AUTO-G03-007,SCN-G03-06,传送带修复完成,方向、带速、分流和保险销,输送脊柱出口
AUTO-G03-008,SCN-G03-07,管理员权限解除,四项权限、控制器状态,控制室结算点
AUTO-G03-009,SCN-G03-08,公开分配方案公布,最低保障、生产、储备与方案,仓库大厅
AUTO-G03-010,SCN-G03-09,回访完成,章节完成、关系与世界变量,章节结算页
