热点ID,场景ID,热点名称,热点类型,操作方式,前置条件,成功结果,错误反馈,完成后状态,目标ID
HS-G03-0001,SCN-G03-00,卡卡挂索,救援热点,拖拽磁力手套,进入码头,将卡卡拉离传送带,错过窗口退回安全点,完成后禁用,OBJ-G03-001
HS-G03-0002,SCN-G03-00,反向传送带控制箱,调查热点,扫描,救援完成,获得逆行记录,无,标记为已读,OBJ-G03-001
HS-G03-0003,SCN-G03-00,空货箱标签,证据热点,点击,救援完成,取得异常订单号,无,消失,OBJ-G03-002
HS-G03-0004,SCN-G03-01,弹簧区需求板,需求热点,扫描/对话,进入仓库,记录急救弹簧缺口,无,已验证,OBJ-G03-003
HS-G03-0005,SCN-G03-01,布区库存堆,库存热点,点击,进入仓库,发现囤积与低需求,无,已验证,OBJ-G03-003
HS-G03-0006,SCN-G03-01,齿轮区停工牌,需求热点,点击,进入仓库,获得停工数量,无,已验证,OBJ-G03-003
HS-G03-0007,SCN-G03-01,方盒姨账本,证据热点,对话后查看,三处需求已调查,取得历史出库记录,条件不足提示继续调查,已读,OBJ-G03-003
HS-G03-0008,SCN-G03-01,20个公共齿轮箱,分配热点,拖拽资源块,取得需求数据,打开UI-016验证平均分配后果,错误可撤销,保留结果,OBJ-G03-004
HS-G03-0009,SCN-G03-02,四只缺口盘,机制入口,提交需求卡,真实需求表初稿,验证四区真实缺口,错误卡退回,四盘点亮,OBJ-G03-005
HS-G03-0010,SCN-G03-02,需求环广播器,证据热点,扫描,四盘部分完成,发现控制器夸大需求,无,已扫描,OBJ-G03-005
HS-G03-0011,SCN-G03-02,饕餮喉部检修门,路径热点,磁力手套,四盘完成,开放第一腹仓,条件不足拒绝,已打开,OBJ-G03-006
HS-G03-0012,SCN-G03-03,医疗区货箱堆,找物入口,点击,进入腹仓,取得急救弹簧与错误标签,提示缩小范围,空堆,OBJ-G03-007
HS-G03-0013,SCN-G03-03,供暖区货箱堆,找物入口,点击,进入腹仓,取得供暖齿轮与错误标签,提示缩小范围,空堆,OBJ-G03-007
HS-G03-0014,SCN-G03-03,装饰区货箱堆,找物入口,点击,进入腹仓,取得布卷与真实发货单,提示缩小范围,空堆,OBJ-G03-007
HS-G03-0015,SCN-G03-03,标签校验台,机制热点,拖拽标签与货箱,取得三类物品,打开UI-017恢复归属,字段冲突可撤销,完成后锁定,OBJ-G03-008
