场景ID,场景名称,地点,场景类型,角色,核心目标,下一场景,存档点,关键道具,危险ID,UI引用
SCN-G02-00,垃圾雨之前,拾光号外部/降落航线,序章导航,星宇、七码,躲避碎片并扫描封存脉冲,SCN-G02-01,AUTO-G02-001,无,DANGER-004,UI-005
SCN-G02-01,五尾清算,屏幕谷外圈,救援与规则暴露,星宇、七码、阿铆、狰,救下阿铆并识别资源标记,SCN-G02-02,AUTO-G02-002,磁力挂索,DANGER-002,UI-005/UI-006
SCN-G02-02,谁说这是无主之物,旧电视墙,找物与档案修复,星宇、七码、阿铆,恢复借用规则记录,SCN-G02-03A/B/C/D,AUTO-G02-003,短线、电源键,DANGER-001,UI-007/UI-010/UI-014
SCN-G02-03A,发动机坑,飞船发动机坑,能源拆解,星宇、七码,取得5格稳定芯与7格波动芯,SCN-G02-04,AUTO-G02-004A,小扳手、冷却片,DANGER-002/DANGER-003,UI-014
SCN-G02-03B,电池洞穴,电池洞穴与冷却管网,环境规避与找物,星宇、七码,取得5格稳定芯和保险丝,SCN-G02-04,AUTO-G02-004B,镜面屏片,DANGER-003,UI-015
SCN-G02-03C,供暖棚,外环居住区,伦理选择与替代方案,星宇、七码、居民、阿铆,建立临时供暖并登记借用8格核心,SCN-G02-04,AUTO-G02-004C,导热管、旧风扇,DANGER-006,UI-013/UI-006
SCN-G02-03D,电线森林,电线森林与五塔外环,路径调度,星宇、七码、小线球,找到短而安全的导线路线,SCN-G02-04,AUTO-G02-004D,绝缘键帽板,DANGER-001,UI-015
SCN-G02-04,磁力手套工坊,阿铆工坊,工具组装与诊断,星宇、七码、阿铆,组装磁力手套并纠正极性,SCN-G02-05,AUTO-G02-005,磁芯、皮手套、铜线,DANGER-004,UI-011/UI-014
SCN-G02-05,豆包不是第五块电池,工坊内室,情绪调查与方案发现,星宇、七码、豆包、阿铆,发现可中止备用电方案,SCN-G02-06,AUTO-G02-006,旧电容、备用电接口,无,UI-006/UI-010
SCN-G02-06,管理员权限解除,中央星门平台与五塔,综合机制与权限核验,星宇、七码、阿铆、豆包、居民、狰,完成五路供能、归属登记、授权开启与12秒稳定,SCN-G02-07,AUTO-G02-007,全部关键能源与工具,DANGER-001/005/006,UI-013/UI-015/UI-060
SCN-G02-07,把东西还回去,屏幕谷/供暖棚/工坊,回访与世界改变,星宇、七码、阿铆、豆包、居民、狰,归还借用资源并完成章节结算,G03,AUTO-G02-008,借用物归还,无,UI-061
