提示ID,场景ID,机关/任务,提示等级,提示文本,触发条件,效果
HINT-G02-001-1,SCN-G02-02,电视墙修复,方向提示,先检查屏幕碎片堆，缺少的不是整块屏幕。,0次失败,不代替操作
HINT-G02-001-2,SCN-G02-02,电视墙修复,区域提示,三枚电源键的边缘磨损分别对应三块主屏。,1次失败,高亮找物区域
HINT-G02-001-3,SCN-G02-02,电视墙修复,直接辅助,自动将一枚正确电源键放入对应槽。,2次失败,完成一步
HINT-G02-002-1,SCN-G02-03A,发动机坑,方向提示,先听喷口声音，喷发不是随机发生。,0次失败,无
HINT-G02-002-2,SCN-G02-03A,发动机坑,区域提示,低频变尖时离开喷口正前方，冷却片可延长窗口。,1次失败,显示安全区域
HINT-G02-002-3,SCN-G02-03A,发动机坑,直接辅助,自动安装冷却片并标出拆解顺序第一步。,2次失败,完成一步
HINT-G02-003-1,SCN-G02-03C,替代供暖,方向提示,核心不能先拿走，先寻找能把发动机余热送进居民棚的部件。,0次失败,无
HINT-G02-003-2,SCN-G02-03C,替代供暖,区域提示,导热管接余热接口，风扇接居民棚风道。,1次失败,高亮两个槽
HINT-G02-003-3,SCN-G02-03C,替代供暖,直接辅助,自动连接导热管，保留风扇步骤给玩家。,2次失败,完成一步
HINT-G02-004-1,SCN-G02-03D,路径调度,方向提示,最短路线经过漏电池塘，但可以先改变地面条件。,0次失败,无
HINT-G02-004-2,SCN-G02-03D,路径调度,区域提示,绝缘键帽板可放在池塘旁的桥槽。,1次失败,高亮桥槽
HINT-G02-004-3,SCN-G02-03D,路径调度,直接辅助,自动铺设绝缘板并连接第一个安全节点。,2次失败,完成一步
HINT-G02-005-1,SCN-G02-04,磁力手套,方向提示,第一次通电失败不是部件缺失，而是方向错误。,0次失败,无
HINT-G02-005-2,SCN-G02-04,磁力手套,区域提示,检查磁芯极性与线圈箭头是否一致。,1次失败,高亮极性切换器
HINT-G02-005-3,SCN-G02-04,磁力手套,直接辅助,自动切换一次极性并保留测试确认。,2次失败,完成一步
HINT-G02-006-1,SCN-G02-06,五塔供能,方向提示,不要试图永久点亮所有塔，先看各塔需求和能源特性。,0次失败,无
HINT-G02-006-2,SCN-G02-06,五塔供能,区域提示,稳定芯维持基础，波动芯和电容负责短时峰值。,1次失败,显示推荐连接类型
HINT-G02-006-3,SCN-G02-06,五塔供能,直接辅助,自动完成一条合法供能连接。,2次失败,完成一步
