对话ID,场景ID,说话者,台词,类型,触发条件,跳过规则,关联
DLG-G02-0001,SCN-G02-00,七码,我有四个问题。第一，为什么求救信号来自垃圾雨中心？,自动,无,不可跳过首次,无
DLG-G02-0002,SCN-G02-00,星宇,问题留着落地再问。左侧那根断卫星轴，能当掩体。,自动,DLG-G02-0001,不可跳过首次,无
DLG-G02-0003,SCN-G02-01,阿铆,别碰那根线！它接的是清算主回路！,自动,进入救援区,不可跳过首次,无
DLG-G02-0004,SCN-G02-01,星宇,先救人。线路等站稳再查。,自动,DLG-G02-0003,不可跳过首次,体现V2.1非冲动改写
DLG-G02-0005,SCN-G02-01,狰,未授权拾取。资源进入封存。,通讯,救援完成,可回看,EVD-G02-002/003/004
DLG-G02-0006,SCN-G02-01,星宇,这些东西有名字，也有正在使用它们的人。,通讯,DLG-G02-0005,可回看,无
DLG-G02-0007,SCN-G02-02,七码,第一块屏幕需要六格电，第二块需要四格，第三块……污渍不是数字。,场景,点击主屏,可跳过已读,提示UI-014
DLG-G02-0008,SCN-G02-02,阿铆,它不是分不清东西是谁的。它是不再相信有人会还。,剧情,档案播放完成,不可跳过首次,EVD-G02-005
DLG-G02-0009,SCN-G02-02,星宇,那就让它看见：借、用、还，三步都有人负责。,剧情,DLG-G02-0008,不可跳过首次,OBJ-G02-004完成
DLG-G02-0010,SCN-G02-03A,七码,十二可以拆成五和七，也可以拆成六和六。别把外壳锯成十二片。,场景,检查电池,可跳过已读,无
DLG-G02-0011,SCN-G02-03B,星宇,它们追的是错误电流。把废电池变成更亮的目标。,场景,扫描蜘蛛,可跳过已读,提示镜面屏片
DLG-G02-0012,SCN-G02-03C,居民,你说会还。狰以前也说只是暂时封存。,对话,检查供暖核心,不可跳过首次,EVD-G02-007
DLG-G02-0013,SCN-G02-03C,星宇,核心先不动。我们先把替代供暖做出来，再由你们登记借用。,对话,DLG-G02-0012,不可跳过首次,修正强拿路径
DLG-G02-0014,SCN-G02-03D,小线球,我没有迷路。我只是把自己打了一个很大的结。,场景,首次进入,可跳过已读,无
DLG-G02-0015,SCN-G02-04,阿铆,会拼不算会修。你得知道它为什么会坏。,剧情,进入工坊,不可跳过首次,无
DLG-G02-0016,SCN-G02-04,七码,测试成功！磁力很强。方向方面，我建议重新检查。,场景,首次通电失败,可跳过已读,UI-014
DLG-G02-0017,SCN-G02-05,豆包,拆下来以后，我还能醒吗？,剧情,扳手靠近主电池盖,不可跳过首次,EVD-G02-010
DLG-G02-0018,SCN-G02-05,星宇,不知道。那就不拆。你愿意借多少，我们就只用多少。,剧情,DLG-G02-0017,不可跳过首次,主角价值观冻结
DLG-G02-0019,SCN-G02-05,豆包,备用电可以借。到安全线，我会自己断开。,剧情,发现备用接口,不可跳过首次,EVD-G02-011
DLG-G02-0020,SCN-G02-06,狰,移动即侵占。拆解即浪费。所有能源，进入封存。,管理员,阶段0,不可跳过首次,UI-060
DLG-G02-0021,SCN-G02-06,星宇,你保护的不是资源，是不允许任何人证明自己会归还。,管理员,DLG-G02-0020,不可跳过首次,UI-060
DLG-G02-0022,SCN-G02-06,七码,它在看标签，不是在看电池大小。登记柱就是权限入口。,提示,阶段1失败1次,可跳过,三级提示1
DLG-G02-0023,SCN-G02-06,星宇,开不开，你们决定。我负责让系统等到你们确认。,管理员,阶段3,不可跳过首次,居民授权
DLG-G02-0024,SCN-G02-06,豆包,我还能借一小会儿。,管理员,稳定阶段电量低,不可跳过,安全线前提示
DLG-G02-0025,SCN-G02-06,星宇,到安全线就断开，别等我说。,管理员,DLG-G02-0024,不可跳过,可中止规则
DLG-G02-0026,SCN-G02-06,七码,十二格点亮了。顺序、数值和归属都对。,管理员,稳定完成,不可跳过首次,OBJ-G02-016
DLG-G02-0027,SCN-G02-06,狰,你没有获得足够能源。为何仍能启动？,结算,权限解除,不可跳过首次,UI-061
DLG-G02-0028,SCN-G02-06,星宇,因为这些力量没有变成我的。它们只在十二秒里一起工作。,结算,DLG-G02-0027,不可跳过首次,章节主题
DLG-G02-0029,SCN-G02-07,狰,借来的力量必须归还。借来的信任也是。,回访,首次回访,不可跳过首次,无
DLG-G02-0030,SCN-G02-07,星宇,别只看结果。看他们怎么借、怎么用、怎么还。,回访,三项归还完成,不可跳过首次,章节完成
