道具ID,名称,类别,取得位置,使用热点,用途,消耗规则,归还/归档,备注
ITM-G02-001,小扳手,工具,阿铆初始借出,HS-G02-0013/0037,拆解电池外壳、敲断自动清算扣,不消耗,章节结束归还,关键工具
ITM-G02-002,电源键A,任务物,HOS-G02-001,HS-G02-0008,修复主屏A,使用后嵌入,保留在场景,不可错误消耗
ITM-G02-003,电源键B,任务物,HOS-G02-001,HS-G02-0009,修复主屏B,使用后嵌入,保留在场景,不可错误消耗
ITM-G02-004,电源键C,任务物,HOS-G02-001,HS-G02-0010,修复主屏C,使用后嵌入,保留在场景,不可错误消耗
ITM-G02-005,短线A/B,材料,HOS-G02-001,电视墙连接槽,连接主屏,使用后嵌入,保留在场景,错误使用退回
ITM-G02-006,镜面屏片,工具组件,HOS-G02-001,HS-G02-0015/0034,反射追踪光,不消耗,章节结束归档,跨两个场景复用
ITM-G02-007,冷却片,材料,HOS-G02-002,HS-G02-0014,延长发动机安全窗口,使用后安装,保留在场景,可选安全加成
ITM-G02-008,5格稳定芯A,能源,SCN-G02-03A,HS-G02-0036,五塔稳定能源,借用后归还登记,章节结算归档,来源记录必保留
ITM-G02-009,7格波动芯,能源,SCN-G02-03A,HS-G02-0036,短时峰值与轮换供能,不消耗,章节结算归档,需要保险丝保护
ITM-G02-010,5格稳定芯B,能源,SCN-G02-03B,HS-G02-0036,五塔稳定能源,不消耗,章节结算归档,洞穴来源
ITM-G02-011,保险丝A/B/C,材料,HOS-G02-003,五塔保护槽,防止线路过载,使用后安装,保留在五塔,错误顺序可撤销
ITM-G02-012,8格供暖核心,借用能源,SCN-G02-03C,HS-G02-0036/0039,临时供能并必须归还,不消耗,归还居民,受温度安全线约束
ITM-G02-013,导热管,材料,HOS-G02-004,HS-G02-0020,替代供暖,使用后安装,保留居民棚,关键伦理前置
ITM-G02-014,旧风扇,材料,HOS-G02-004,HS-G02-0021,替代供暖循环,使用后安装,保留居民棚,关键伦理前置
ITM-G02-015,绝缘键帽板,工具组件,电线森林找物,HS-G02-0024,建立安全短路线,使用后安装,保留场景,开启MECH-003最优解
ITM-G02-016,磁力手套,能力工具,SCN-G02-04,多处磁性热点,牵引、脉冲、极性切换,不消耗,跨章节装备,仅允许授权热点
ITM-G02-017,旧电容,能源组件,HOS-G02-005,HS-G02-0036,形成十二秒峰值,不消耗,章节结算归档,与备用电组合
ITM-G02-018,升压线,能源组件,HOS-G02-005,HS-G02-0036,连接豆包备用电,不消耗,安全断开后归档,必须可中止
