变量ID,变量名,类型,默认值,写入条件,持久性,约束
VAR-G02-001,g02_intro_scan_done,bool,false,完成封存脉冲扫描,保存,无
VAR-G02-002,g02_almao_rescued,bool,false,救下阿铆,保存,无
VAR-G02-003,g02_resource_labels,int,0,扫描三类资源标签,保存,0-3
VAR-G02-004,g02_archive_restored,bool,false,电视墙档案恢复,保存,无
VAR-G02-005,g02_stable_core_a,bool,false,发动机坑完成,保存,无
VAR-G02-006,g02_wave_core,bool,false,发动机坑完成,保存,无
VAR-G02-007,g02_stable_core_b,bool,false,电池洞穴完成,保存,无
VAR-G02-008,g02_fuses_count,int,0,保险丝拾取,保存,0-3
VAR-G02-009,g02_heating_replaced,bool,false,临时供暖稳定,保存,无
VAR-G02-010,g02_heating_core_borrowed,bool,false,登记借用,保存,无
VAR-G02-011,g02_safe_wire_route,bool,false,MECH-003完成,保存,无
VAR-G02-012,g02_magnetic_glove_owned,bool,false,工坊完成,跨章保存,无
VAR-G02-013,g02_glove_polarity_fixed,bool,false,MECH-002完成,保存,无
VAR-G02-014,g02_doubao_backup_authorized,bool,false,豆包同意借电,保存,不可被强制设为true
VAR-G02-015,g02_old_capacitor_owned,bool,false,旧电容柜完成,保存,无
VAR-G02-016,g02_permission_recycle,bool,false,登记柱完成,保存,管理员权限1
VAR-G02-017,g02_permission_tracking,bool,false,反射标记完成,保存,管理员权限2
VAR-G02-018,g02_permission_storage,bool,false,居民内部授权,保存,管理员权限3
VAR-G02-019,g02_permission_powercut,bool,false,五塔轮换完成,保存,管理员权限4
VAR-G02-020,g02_permission_punish,bool,false,清算扣断开,保存,管理员权限5
VAR-G02-021,g02_gate_stable_seconds,float,0,稳定阶段每秒更新,临时+检查点,0-12
VAR-G02-022,g02_doubao_safe,bool,true,备用电安全线,保存,为false时自动断开并回退
VAR-G02-023,g02_heating_temperature,float,1.0,供暖核心使用期间,临时+检查点,0-1
VAR-G02-024,g02_admin_unlocked,bool,false,12秒稳定完成,跨章保存,无
VAR-G02-025,g02_return_count,int,0,归还借用资源,保存,0-3
VAR-G02-026,g02_chapter_complete,bool,false,三项归还完成,跨章保存,解锁G03
VAR-G02-027,world_star_core_count,int,0,章节结算,跨章保存,完成后+1
VAR-G02-028,player_name,string,星宇,全项目固定,跨章保存,禁止写回小砾
