对话ID,场景ID,说话者,台词,类型,触发条件,跳过规则,关联
DLG-G12-0001,SCN-G12-00,七码,所有任务都标着第一优先级。排序系统决定按字数执行。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G12-0002,SCN-G12-01,星宇,先看前置关系，再谈优先级。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G12-0003,SCN-G12-02,序序,有些工作可以并行，有些必须等上一步真正结束。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G12-0004,SCN-G12-03,接接,形状能插进去，不代表针脚和负载匹配。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G12-0005,SCN-G12-04,复复,维修完成不是关闭，复检合格才是。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G12-0006,SCN-G12-05,女娲,工程必须连续。停下来复核等同破坏进度。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G12-0007,SCN-G12-06,星宇,不允许回退的工程，只会把错误封进下一层。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G12-0008,SCN-G12-07,女娲,开放复核与回退。保留责任链和关闭证据。,剧情/场景,对应场景首次触发,首次不可跳过，已读可跳过,章节核心
DLG-G12-0009,SCN-G12-08,项目员序序,项目员序序：关于“星环恢复”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G12-0010,SCN-G12-09,接口师接接,接口师接接：关于“回访与结算”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G12-0011,SCN-G12-00,质量员复复,质量员复复：关于“失序的工程环”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G12-0012,SCN-G12-01,女娲,女娲：关于“工序依赖网”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G12-0013,SCN-G12-02,星宇,星宇：关于“跨接口接驳”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G12-0014,SCN-G12-03,七码,七码：关于“外环风暴”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G12-0015,SCN-G12-04,项目员序序,星宇提前接驳未完成复检的接口，引发保护断电；前置关系与复核责任被写入永久记录。,场景/系统,状态变化时,可跳过已读,无
DLG-G12-0016,SCN-G12-05,接口师接接,接口师接接：关于“质量缺口”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G12-0017,SCN-G12-06,质量员复复,质量员复复：关于“复核闭环”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G12-0018,SCN-G12-07,女娲,女娲：关于“女娲权限解除”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G12-0019,SCN-G12-08,星宇,女娲的权限节点已完成一项，正确进度被独立保存。,场景/系统,状态变化时,可跳过已读,无
DLG-G12-0020,SCN-G12-09,七码,七码：关于“回访与结算”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G12-0021,SCN-G12-00,项目员序序,项目员序序：关于“失序的工程环”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G12-0022,SCN-G12-01,接口师接接,接口师接接：关于“工序依赖网”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
DLG-G12-0023,SCN-G12-02,质量员复复,星宇：本章的结论不是一个答案，而是一套能被检查和修正的方法。,场景/系统,状态变化时,可跳过已读,无
DLG-G12-0024,SCN-G12-03,女娲,女娲：关于“外环风暴”的记录已经更新，请核对证据、条件和下一步。,场景/系统,状态变化时,可跳过已读,无
