热点ID,场景ID,热点名称,热点类型,操作方式,前置条件,成功结果,错误反馈,完成后状态,目标ID
HS-G12-0001,SCN-G12-00,失序的工程环-调查证据,调查证据,点击/扫描,进入场景,记录失序的工程环的关键证据,无,已读,OBJ-G12-001
HS-G12-0002,SCN-G12-00,失序的工程环-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得失序的工程环所需工具或证据,提示缩小范围,找物完成,OBJ-G12-001
HS-G12-0003,SCN-G12-00,失序的工程环-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进失序的工程环对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G12-001
HS-G12-0004,SCN-G12-00,失序的工程环-完成确认,完成确认,提交/确认,机制条件全部满足,完成失序的工程环并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G12-001
HS-G12-0005,SCN-G12-01,工序依赖网-调查证据,调查证据,点击/扫描,进入场景,记录工序依赖网的关键证据,无,已读,OBJ-G12-002
HS-G12-0006,SCN-G12-01,工序依赖网-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得工序依赖网所需工具或证据,提示缩小范围,找物完成,OBJ-G12-002
HS-G12-0007,SCN-G12-01,工序依赖网-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进工序依赖网对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G12-002
HS-G12-0008,SCN-G12-01,工序依赖网-完成确认,完成确认,提交/确认,机制条件全部满足,完成工序依赖网并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G12-002
HS-G12-0009,SCN-G12-02,跨接口接驳-调查证据,调查证据,点击/扫描,进入场景,记录跨接口接驳的关键证据,无,已读,OBJ-G12-003
HS-G12-0010,SCN-G12-02,跨接口接驳-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得跨接口接驳所需工具或证据,提示缩小范围,找物完成,OBJ-G12-003
HS-G12-0011,SCN-G12-02,跨接口接驳-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进跨接口接驳对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G12-003
HS-G12-0012,SCN-G12-02,跨接口接驳-完成确认,完成确认,提交/确认,机制条件全部满足,完成跨接口接驳并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G12-003
HS-G12-0013,SCN-G12-03,外环风暴-调查证据,调查证据,点击/扫描,进入场景,记录外环风暴的关键证据,无,已读,OBJ-G12-004
HS-G12-0014,SCN-G12-03,外环风暴-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得外环风暴所需工具或证据,提示缩小范围,找物完成,OBJ-G12-004
HS-G12-0015,SCN-G12-03,外环风暴-机制控制,机制控制,拖拽/排列/调整,取得本场景关键道具,推进外环风暴对应机制状态,错误步骤退回或撤销最后一步,机制已验证,OBJ-G12-004
HS-G12-0016,SCN-G12-03,外环风暴-完成确认,完成确认,提交/确认,机制条件全部满足,完成外环风暴并开放下一节点,条件不足时拒绝提交,场景S5完成,OBJ-G12-004
HS-G12-0017,SCN-G12-04,姿态稳定窗-调查证据,调查证据,点击/扫描,进入场景,记录姿态稳定窗的关键证据,无,已读,OBJ-G12-005
HS-G12-0018,SCN-G12-04,姿态稳定窗-找物入口,找物入口,点击进入找物,调查至少一项环境线索,取得姿态稳定窗所需工具或证据,提示缩小范围,找物完成,OBJ-G12-005
