道具ID,名称,类别,取得位置,使用热点,用途,消耗规则,归还/归档,备注
ITM-G12-001,工序任务卡,工具/证据/材料,HOS-G12-001,HS-G12-0003,服务于工序依赖、接口匹配、姿态控制和质量闭环相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G12-002,依赖线扣,工具/证据/材料,HOS-G12-001,HS-G12-0006,服务于工序依赖、接口匹配、姿态控制和质量闭环相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G12-003,接口规尺,工具/证据/材料,HOS-G12-001,HS-G12-0009,服务于工序依赖、接口匹配、姿态控制和质量闭环相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G12-004,转接环,工具/证据/材料,HOS-G12-002,HS-G12-0012,服务于工序依赖、接口匹配、姿态控制和质量闭环相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G12-005,针脚图,工具/证据/材料,HOS-G12-002,HS-G12-0015,服务于工序依赖、接口匹配、姿态控制和质量闭环相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G12-006,负载牌,工具/证据/材料,HOS-G12-002,HS-G12-0018,服务于工序依赖、接口匹配、姿态控制和质量闭环相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G12-007,稳定翼控制片,工具/证据/材料,HOS-G12-003,HS-G12-0021,服务于工序依赖、接口匹配、姿态控制和质量闭环相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G12-008,水平仪芯,工具/证据/材料,HOS-G12-003,HS-G12-0024,服务于工序依赖、接口匹配、姿态控制和质量闭环相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G12-009,缺陷记录,工具/证据/材料,HOS-G12-003,HS-G12-0027,服务于工序依赖、接口匹配、姿态控制和质量闭环相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G12-010,维修记录,工具/证据/材料,HOS-G12-004,HS-G12-0030,服务于工序依赖、接口匹配、姿态控制和质量闭环相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G12-011,复检印章,工具/证据/材料,SCN-G12-02,HS-G12-0033,服务于工序依赖、接口匹配、姿态控制和质量闭环相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
ITM-G12-012,女娲控制钥,工具/证据/材料,SCN-G12-03,HS-G12-0036,服务于工序依赖、接口匹配、姿态控制和质量闭环相关任务,错误使用不消耗；安装件完成后嵌入,章节结束归还或归档,关键物不可丢弃
