存档ID,场景ID,触发条件,保存内容,恢复位置
AUTO-G12-001,SCN-G12-00,失序的工程环完成,场景状态、关键物、机制进度、证据和变量,星环工程港安全点
AUTO-G12-002,SCN-G12-01,工序依赖网完成,场景状态、关键物、机制进度、证据和变量,项目调度厅安全点
AUTO-G12-003,SCN-G12-02,跨接口接驳完成,场景状态、关键物、机制进度、证据和变量,多制式接口区安全点
AUTO-G12-004,SCN-G12-03,外环风暴完成,场景状态、关键物、机制进度、证据和变量,外环平台安全点
AUTO-G12-005,SCN-G12-04,姿态稳定窗完成,场景状态、关键物、机制进度、证据和变量,姿态控制舱安全点
AUTO-G12-006,SCN-G12-05,质量缺口完成,场景状态、关键物、机制进度、证据和变量,质量档案室安全点
AUTO-G12-007,SCN-G12-06,复核闭环完成,场景状态、关键物、机制进度、证据和变量,复检平台安全点
AUTO-G12-008,SCN-G12-07,女娲权限解除完成,场景状态、关键物、机制进度、证据和变量,女娲核心安全点
AUTO-G12-009,SCN-G12-08,星环恢复完成,场景状态、关键物、机制进度、证据和变量,供能主环安全点
AUTO-G12-010,SCN-G12-09,回访与结算完成,场景状态、关键物、机制进度、证据和变量,工程纪念廊安全点
