场景ID,场景名称,地点,场景类型,角色,核心目标,下一场景,存档点,关键道具,危险ID,UI引用
SCN-G12-00,失序的工程环,星环工程港,入场调查,星宇、七码、项目员序序、接口师接接、质量员复复、女娲,完成失序的工程环的调查、找物、机制或权限目标,SCN-G12-01,AUTO-G12-001,工序任务卡,DANGER-062,UI-052
SCN-G12-01,工序依赖网,项目调度厅,机制推进,星宇、七码、项目员序序、接口师接接、质量员复复、女娲,完成工序依赖网的调查、找物、机制或权限目标,SCN-G12-02,AUTO-G12-002,依赖线扣,DANGER-063,UI-052
SCN-G12-02,跨接口接驳,多制式接口区,找物与机制,星宇、七码、项目员序序、接口师接接、质量员复复、女娲,完成跨接口接驳的调查、找物、机制或权限目标,SCN-G12-03,AUTO-G12-003,接口规尺,DANGER-064,UI-053
SCN-G12-03,外环风暴,外环平台,机制推进,星宇、七码、项目员序序、接口师接接、质量员复复、女娲,完成外环风暴的调查、找物、机制或权限目标,SCN-G12-04,AUTO-G12-004,转接环,DANGER-065,UI-053
SCN-G12-04,姿态稳定窗,姿态控制舱,找物与机制,星宇、七码、项目员序序、接口师接接、质量员复复、女娲,完成姿态稳定窗的调查、找物、机制或权限目标,SCN-G12-05,AUTO-G12-005,针脚图,DANGER-066,UI-054
SCN-G12-05,质量缺口,质量档案室,剧情性失败/修正,星宇、七码、项目员序序、接口师接接、质量员复复、女娲,完成质量缺口的调查、找物、机制或权限目标,SCN-G12-06,AUTO-G12-006,负载牌,DANGER-067,UI-054
SCN-G12-06,复核闭环,复检平台,机制推进,星宇、七码、项目员序序、接口师接接、质量员复复、女娲,完成复核闭环的调查、找物、机制或权限目标,SCN-G12-07,AUTO-G12-007,稳定翼控制片,DANGER-067,UI-055
SCN-G12-07,女娲权限解除,女娲核心,管理员权限解除,星宇、七码、项目员序序、接口师接接、质量员复复、女娲,完成女娲权限解除的调查、找物、机制或权限目标,SCN-G12-08,AUTO-G12-008,水平仪芯,DANGER-065/DANGER-066/DANGER-067,UI-080
SCN-G12-08,星环恢复,供能主环,世界改变/回访,星宇、七码、项目员序序、接口师接接、质量员复复、女娲,完成星环恢复的调查、找物、机制或权限目标,SCN-G12-09,AUTO-G12-009,缺陷记录,无,UI-081
SCN-G12-09,回访与结算,工程纪念廊,世界改变/回访,星宇、七码、项目员序序、接口师接接、质量员复复、女娲,完成回访与结算的调查、找物、机制或权限目标,G13,AUTO-G12-010,维修记录,无,UI-081
