变量ID,变量名,类型,默认值,写入条件,持久性,约束
VAR-G12-001,g12_intro_done,bool,false,首场景完成,保存,无
VAR-G12-002,g12_mech_1_done,bool,false,多工序依赖网完成,保存,权限条件
VAR-G12-003,g12_mech_2_done,bool,false,跨接口接驳完成,保存,权限条件
VAR-G12-004,g12_mech_3_done,bool,false,风暴姿态稳定完成,保存,权限条件
VAR-G12-005,g12_mech_4_done,bool,false,质量复核闭环完成,保存,权限条件
VAR-G12-006,g12_story_failure_seen,bool,false,剧情性失败发生,保存,必须发生
VAR-G12-007,g12_evidence_1,bool,false,取得或验证证据,保存,无
VAR-G12-008,g12_evidence_2,bool,false,取得或验证证据,保存,无
VAR-G12-009,g12_evidence_3,bool,false,取得或验证证据,保存,无
VAR-G12-010,g12_evidence_4,bool,false,取得或验证证据,保存,无
VAR-G12-011,g12_evidence_5,bool,false,取得或验证证据,保存,无
VAR-G12-012,g12_evidence_6,bool,false,取得或验证证据,保存,无
VAR-G12-013,g12_evidence_7,bool,false,取得或验证证据,保存,无
VAR-G12-014,g12_evidence_8,bool,false,取得或验证证据,保存,无
VAR-G12-015,g12_evidence_9,bool,false,取得或验证证据,保存,无
VAR-G12-016,g12_evidence_10,bool,false,取得或验证证据,保存,无
VAR-G12-017,g12_permission_1,bool,false,管理员权限节点完成,保存,权限1
VAR-G12-018,g12_permission_2,bool,false,管理员权限节点完成,保存,权限2
VAR-G12-019,g12_permission_3,bool,false,管理员权限节点完成,保存,权限3
VAR-G12-020,g12_permission_4,bool,false,管理员权限节点完成,保存,权限4
VAR-G12-021,g12_admin_unlocked,bool,false,管理员权限解除,跨章保存,无
VAR-G12-022,g12_world_change_checks,int,0,世界改变回访,保存,0-3
VAR-G12-023,g12_chapter_complete,bool,false,章节结算,跨章保存,解锁G13
VAR-G12-024,world_star_core_count,int,10,章节完成,跨章保存,完成后+1
VAR-G12-025,player_name,string,星宇,全项目固定,跨章保存,禁止写回小砾
VAR-G12-026,g12_hint_level,int,0,失败次数更新,临时+保存,0-3
VAR-G12-027,g12_last_safe_node,string,无,进入安全节点,保存,恢复位置
VAR-G12-028,g12_inventory_valid,bool,true,每次保存前校验,保存,关键物完整
VAR-G12-029,g12_ending_flag,string,未完成,章节结算,跨章保存,完成/分支
