映射ID,资产ID,资产名称,应用场景,UI,热点/入口,关联危险/机制,说明
MAP-G12-001,MECH-040,多工序依赖网,SCN-G12-00/SCN-G12-01,UI-052,HS-G12-0001—0008,DANGER-062,机制与场景状态对应
MAP-G12-002,MECH-041,跨接口接驳,SCN-G12-02/SCN-G12-03,UI-053,HS-G12-0009—0016,DANGER-063,机制与场景状态对应
MAP-G12-003,MECH-042,风暴姿态稳定,SCN-G12-04/SCN-G12-05,UI-054,HS-G12-0017—0024,DANGER-064,机制与场景状态对应
MAP-G12-004,MECH-043,质量复核闭环,SCN-G12-06/SCN-G12-07,UI-055,HS-G12-0025—0032,DANGER-065,机制与场景状态对应
MAP-G12-005,UI-080,管理员对话/权限解除,SCN-G12-07,UI-080,HS-G12-0029—0032,DANGER-065/DANGER-066/DANGER-067,替代旧Boss战
MAP-G12-006,UI-081,世界改变/学习结算,SCN-G12-08/SCN-G12-09,UI-081,HS-G12-0033—0040,无,章节结算
MAP-G12-007,DANGER-062,百工星环危险1,SCN-G12-00,UI-005/UI-012,HS-G12-0001,关联机制,预警、安全窗口与软重置
MAP-G12-008,DANGER-063,百工星环危险2,SCN-G12-01,UI-005/UI-012,HS-G12-0005,关联机制,预警、安全窗口与软重置
MAP-G12-009,DANGER-064,百工星环危险3,SCN-G12-02,UI-005/UI-012,HS-G12-0009,关联机制,预警、安全窗口与软重置
MAP-G12-010,DANGER-065,百工星环危险4,SCN-G12-03,UI-005/UI-012,HS-G12-0013,关联机制,预警、安全窗口与软重置
MAP-G12-011,DANGER-066,百工星环危险5,SCN-G12-04,UI-005/UI-012,HS-G12-0017,关联机制,预警、安全窗口与软重置
MAP-G12-012,DANGER-067,百工星环危险6,SCN-G12-05,UI-005/UI-012,HS-G12-0021,关联机制,预警、安全窗口与软重置
