热点ID,场景ID,热点名称,热点类型,操作方式,前置条件,成功结果,错误反馈,完成后状态,目标ID
HS-G05-0001,SCN-G05-00,双高度显示器,诊断热点,扫描,进入降落区,显示38米与83米来源,无,已读,OBJ-G05-001
HS-G05-0002,SCN-G05-00,镜像冻层边缘,环境热点,点击,显示器已读,识别镜像反射层,无,已标记,OBJ-G05-001
HS-G05-0003,SCN-G05-00,基准落点,机制热点,拖入激光测距仪,两项调查完成,打开UI-024完成校准,错误单位不提交,已校准,OBJ-G05-002
HS-G05-0004,SCN-G05-01,冰柱刻度A,测量热点,基准杆对齐,进入尺林,记录当前长度,无,已测量,OBJ-G05-003
HS-G05-0005,SCN-G05-01,冰柱刻度B,测量热点,温度贴,刻度A完成,记录温度变化,无,已测量,OBJ-G05-003
HS-G05-0006,SCN-G05-01,旧标准牌,证据热点,扫描,两次测量完成,发现旧标准未随温度更新,无,已读,OBJ-G05-003
HS-G05-0007,SCN-G05-01,临时标准台,机制热点,提交基准与温度,三项证据完成,建立临时标准与误差带,证据不足拒绝,已建立,OBJ-G05-004
HS-G05-0008,SCN-G05-02,上升水位计,危险观察,点击,进入量杯站,显示上涨速度,靠近溢流区自动退回,已读,OBJ-G05-005
HS-G05-0009,SCN-G05-02,三只量杯,机制入口,拖拽水量,读取需求,打开UI-025分配融水,溢流可撤销,完成,OBJ-G05-005
HS-G05-0010,SCN-G05-02,最低保障阀,规则热点,点击设置,进入分配,锁定饮用/冷却最低量,不足时阻止提交,已锁定,OBJ-G05-005
HS-G05-0011,SCN-G05-02,排水阀槽,组合热点,排水阀柄,量杯分配完成,解除站台积水,错误工具退回,已排水,OBJ-G05-006
HS-G05-0012,SCN-G05-03,桥头测量点A,测量热点,激光测距仪,进入旧桥口,记录第一次读数,无,已测量,OBJ-G05-007
HS-G05-0013,SCN-G05-03,桥头测量点B,测量热点,激光测距仪,点A完成,记录第二次读数,无,已测量,OBJ-G05-007
HS-G05-0014,SCN-G05-03,桥板铺设槽,施工热点,拖入桥板,取得单次读数,触发错误铺设与桥头错位,不可取消该剧情失败,桥板错位,OBJ-G05-008
HS-G05-0015,SCN-G05-03,错位裂缝,证据热点,扫描,失败发生,获得冰层移动证据,无,已读,OBJ-G05-008
HS-G05-0016,SCN-G05-04,厚度探测点A-C,测量热点,厚度探针,进入冰缝,获得三处厚度,无,已测量,OBJ-G05-009
HS-G05-0017,SCN-G05-04,配重袋槽,组合热点,配重袋,厚度数据完成,调整两人压力分配,错误数量可重配,已配置,OBJ-G05-009
HS-G05-0018,SCN-G05-04,安全绳锚点,组合热点,安全绳,配重完成,建立回退保护,错误锚点提示,已固定,OBJ-G05-009
HS-G05-0019,SCN-G05-04,薄冰节点路线,机制热点,点击节点,三项准备完成,打开UI-027完成路线,非法步退回一步,路线锁定,OBJ-G05-010
HS-G05-0020,SCN-G05-05,滑轨长度槽,施工热点,拖入滑轨,进入施工区,安装主滑轨,尺寸不符退回,已安装,OBJ-G05-011
HS-G05-0021,SCN-G05-05,伸缩扣槽,施工热点,拖入伸缩扣,滑轨完成,预留伸缩余量,余量不足提示,已安装,OBJ-G05-011
HS-G05-0022,SCN-G05-05,配重横梁,施工热点,拖入配重块,伸缩扣完成,平衡桥面,配置错误可重调,已平衡,OBJ-G05-011
HS-G05-0023,SCN-G05-05,三次复测点,机制热点,连续测量,桥体装配完成,形成当前值与±0.1米误差带,异常值保留不覆盖,测量完成,OBJ-G05-012
HS-G05-0024,SCN-G05-05,三分钟复测钟,时间热点,点击启动,三次复测完成,设定复测周期,无,已启动,OBJ-G05-012
HS-G05-0025,SCN-G05-06,高度校准节点,权限热点,提交校准报告,管理员阶段1,解除单一高度权限,证据不足拒绝,已解除,OBJ-G05-013
HS-G05-0026,SCN-G05-06,供水恢复节点,权限热点,提交量杯站状态,管理员阶段2,解除容量绝对值权限,最低保障未完成拒绝,已解除,OBJ-G05-013
HS-G05-0027,SCN-G05-06,误差带节点,权限热点,提交动态测量,管理员阶段3,解除无限精确权限,未标范围拒绝,已解除,OBJ-G05-013
HS-G05-0028,SCN-G05-06,安全路线节点,权限热点,提交薄冰路线,管理员阶段4,解除单一路径权限,路线未验证拒绝,已解除,OBJ-G05-013
HS-G05-0029,SCN-G05-06,冰龙风切控制器,维修热点,小扳手/磁力手套,四项权限解除,停止风切并释放桥轨,条件不足不可接近,已稳定,OBJ-G05-014
HS-G05-0030,SCN-G05-07,动态测量报告台,结算热点,提交报告,权限解除,写入当前值、误差与复测周期,字段缺失拒绝,报告生效,OBJ-G05-015
HS-G05-0031,SCN-G05-07,居民通行许可,授权热点,居民确认,报告生效,开放主桥,管理员不能代替确认,已授权,OBJ-G05-015
HS-G05-0032,SCN-G05-08,尺林新标准牌,回访热点,点击,主桥开放,验证标准更新时间,无,已验证,OBJ-G05-016
HS-G05-0033,SCN-G05-08,量杯站余量表,回访热点,点击,主桥开放,验证最低保障与储备,无,已验证,OBJ-G05-016
HS-G05-0034,SCN-G05-08,滑轨桥伸缩缝,回访热点,点击,主桥开放,验证桥梁动态余量,无,已验证,OBJ-G05-016
HS-G05-0035,SCN-G05-08,冰夷通讯台,回访热点,对话,三项验证完成,确认管理员恢复,无,完成,OBJ-G05-016
