映射ID,资产ID,资产名称,应用场景,UI,热点/入口,关联危险/机制,说明
MAP-G05-001,MECH-012,双高度校准,SCN-G05-00/01,UI-024,HS-G05-0001—0007,DANGER-020/021,镜像读数与动态标准
MAP-G05-002,MECH-013,量杯上涨,SCN-G05-02,UI-025,HS-G05-0008—0011,DANGER-022,容量分配与最低保障
MAP-G05-003,MECH-014,误差带测量,SCN-G05-03/05,UI-026,HS-G05-0012—0015/0023—0024,DANGER-023/025,多次测量与误差范围
MAP-G05-004,MECH-015,薄冰安全路线,SCN-G05-04,UI-027,HS-G05-0016—0019,DANGER-024,厚度、压力与步距
MAP-G05-005,UI-066,管理员权限解除,SCN-G05-06,UI-066,HS-G05-0025—0029,MECH-012—015,替代旧Boss战
MAP-G05-006,UI-067,世界改变/学习结算,SCN-G05-07/08,UI-067,HS-G05-0030—0035,无,章节结算
MAP-G05-007,DANGER-020,镜像高度误判,SCN-G05-00/06,UI-024/UI-066,双高度显示/权限节点,MECH-012,假读数与降落风险
MAP-G05-008,DANGER-021,动态刻度漂移,SCN-G05-01,UI-024/UI-026,尺林刻度,MECH-012/014,温度导致标准变化
MAP-G05-009,DANGER-022,量杯站溢流,SCN-G05-02/06,UI-025/UI-012,水位计/供水节点,MECH-013,水位上涨与最低保障
MAP-G05-010,DANGER-023,冰桥桥头错位,SCN-G05-03,UI-026/UI-012,桥板铺设/错位裂缝,MECH-014,剧情性失败
MAP-G05-011,DANGER-024,薄冰承压破裂,SCN-G05-04,UI-027/UI-012,厚度点/路线节点,MECH-015,安全节点撤离
MAP-G05-012,DANGER-025,风暴桥轨收缩,SCN-G05-05/06,UI-026/UI-027,滑轨桥/风切控制器,MECH-014/015,伸缩余量与复测
