对话ID,场景ID,说话者,台词,类型,触发条件,跳过规则,关联
DLG-G05-0001,SCN-G05-00,七码,高度三十八米。更正，八十三米。再次更正，我把镜像读数当成了倒序。,自动,进入降落区,不可跳过首次,七码麻烦错误
DLG-G05-0002,SCN-G05-00,星宇,先找基准，不要选一个看起来更顺眼的数字。,自动,双读数出现,不可跳过首次,方法提示
DLG-G05-0003,SCN-G05-01,米米,刻度每小时都会变。我已经三天没敢签字了。,剧情,进入尺林,不可跳过首次,无
DLG-G05-0004,SCN-G05-01,星宇,标准不是永远不变，是变化时有人记录。,剧情,临时标准完成,不可跳过首次,章节主题
DLG-G05-0005,SCN-G05-02,升升,水箱绝对装得下。上次溢出来，是水太多，不是箱太小。,场景,进入量杯站,不可跳过首次,无
DLG-G05-0006,SCN-G05-02,七码,余量还有三十厘米。……为什么大家不动？哦，是三十升。,场景,首次容量错误,可跳过已读,七码笑点错误
DLG-G05-0007,SCN-G05-03,星宇,四十八点七米，够了，铺板。,剧情,单次测量后,不可跳过首次,冲动失败
DLG-G05-0008,SCN-G05-03,米米,你测的是刚才，不是下一分钟。,剧情,桥头错位,不可跳过首次,无
DLG-G05-0009,SCN-G05-03,星宇,我把一个读数当成了不会动的事实。先救人，再重做。,剧情,失败后,不可跳过首次,性格修正
DLG-G05-0010,SCN-G05-04,秤砣叔,别只算路有多短。还要算每一步压了多少。,剧情,进入冰缝,不可跳过首次,UI-027
DLG-G05-0011,SCN-G05-04,七码,安全索已固定。星宇：固定在哪？七码：固定在我自己身上。,笑点,安装安全绳前,可跳过,七码纯笑点
DLG-G05-0012,SCN-G05-05,滴答,冰桥不是坏了。它在呼吸，只是以前没人给它留位置。,剧情,进入施工区,不可跳过首次,无
DLG-G05-0013,SCN-G05-05,星宇,写下当前值，也写下它可能变化多少。,剧情,三次复测完成,不可跳过首次,UI-026
DLG-G05-0014,SCN-G05-06,冰夷,不允许误差。不允许变化。只有唯一精确值才能保证安全。,管理员,阶段0,不可跳过首次,UI-066
DLG-G05-0015,SCN-G05-06,星宇,把变化藏起来才危险。安全需要知道范围，也需要知道什么时候再测。,管理员,阶段0后,不可跳过首次,无
DLG-G05-0016,SCN-G05-06,米米,这是我签的报告。不是因为它永远正确，而是因为它写清了条件。,管理员,误差节点完成,不可跳过首次,无
DLG-G05-0017,SCN-G05-06,升升,量杯站保留了安全余量。装满不是唯一答案。,管理员,供水节点完成,不可跳过首次,无
DLG-G05-0018,SCN-G05-06,七码,四项记录一致。唯一不一致的是我刚才把三分钟设成了三小时。已修正。,管理员,四节点完成,不可跳过首次,七码漏洞暴露
DLG-G05-0019,SCN-G05-06,冰夷,停止冻结标准。允许范围。开放复测。,管理员,权限解除,不可跳过首次,管理员恢复
DLG-G05-0020,SCN-G05-07,星宇,当前四十八点七米，允许正负零点一米，每三分钟复测。,结算,提交报告,不可跳过首次,核心答案
DLG-G05-0021,SCN-G05-08,米米,我还是会害怕签字。但现在报告会告诉我什么时候该重新检查。,回访,标准牌验证,不可跳过首次,无
DLG-G05-0022,SCN-G05-08,冰夷,我会维护标准，不再冻结变化。,回访,管理员对话,不可跳过首次,无
DLG-G05-0023,SCN-G05-08,星宇,可靠不是永远不变。是变化发生时，我们仍知道怎么判断。,结算,回访完成,不可跳过首次,UI-067
DLG-G05-0024,SCN-G05-08,七码,下一站由九块岛组成。我已经确认九是一个稳定数字。除非它们会移动。,结算,章节完成,不可跳过首次,G06钩子
