提示ID,场景ID,机关/任务,提示等级,提示文本,触发条件,效果
HINT-G05-001-1,SCN-G05-00,双高度校准,一级,两个读数都可能来自真实物体，但不一定属于同一层。,0次失败,方向提示
HINT-G05-001-2,SCN-G05-00,双高度校准,二级,先用固定基准点排除镜像读数。,1次失败,高亮基准落点
HINT-G05-001-3,SCN-G05-00,双高度校准,三级,自动标记一个正确基准。,2次失败,完成一步
HINT-G05-002-1,SCN-G05-01,动态刻度,一级,测量时同时记录温度。,0次失败,方向提示
HINT-G05-002-2,SCN-G05-01,动态刻度,二级,旧标准牌的时间与当前温度不匹配。,1次失败,高亮时间字段
HINT-G05-002-3,SCN-G05-01,动态刻度,三级,自动建立一项当前标准。,2次失败,完成一步
HINT-G05-003-1,SCN-G05-02,量杯上涨,一级,先锁定最低保障，再分配剩余容量。,0次失败,方向提示
HINT-G05-003-2,SCN-G05-02,量杯上涨,二级,饮用和冷却不能低于标记线。,1次失败,显示最低线
HINT-G05-003-3,SCN-G05-02,量杯上涨,三级,自动补足一只量杯。,2次失败,完成一步
HINT-G05-004-1,SCN-G05-04,薄冰路线,一级,最短路线不一定承受得住两个人。,0次失败,方向提示
HINT-G05-004-2,SCN-G05-04,薄冰路线,二级,先分配配重，再选择厚度较高的节点。,1次失败,高亮安全节点
HINT-G05-004-3,SCN-G05-04,薄冰路线,三级,自动连接第一个安全节点。,2次失败,完成一步
HINT-G05-005-1,SCN-G05-05,误差带测量,一级,单次读数不能代表会移动的桥。,0次失败,方向提示
HINT-G05-005-2,SCN-G05-05,误差带测量,二级,比较三次读数，保留最大和最小值。,1次失败,显示误差带
HINT-G05-005-3,SCN-G05-05,误差带测量,三级,自动录入一次有效复测。,2次失败,完成一步
HINT-G05-006-1,SCN-G05-06,冰夷权限解除,一级,四项权限分别对应高度、容量、误差和路线。,0次失败,方向提示
HINT-G05-006-2,SCN-G05-06,冰夷权限解除,二级,动态报告必须包含当前值、范围和复测周期。,1次失败,显示缺失字段
HINT-G05-006-3,SCN-G05-06,冰夷权限解除,三级,自动提交一个已验证节点。,2次失败,完成一步
