变量ID,变量名,类型,默认值,写入条件,持久性,约束
VAR-G05-001,g05_landing_calibrated,bool,false,双高度完成,保存,无
VAR-G05-002,g05_current_standard,bool,false,尺林标准完成,保存,无
VAR-G05-003,g05_water_minimum_locked,bool,false,最低保障完成,保存,无
VAR-G05-004,g05_station_drained,bool,false,排水阀完成,保存,无
VAR-G05-005,g05_bridge_first_failure,bool,false,错位剧情发生,保存,必须发生
VAR-G05-006,g05_bridge_board_damage,int,0,第一次失败,跨章保存,0-2
VAR-G05-007,g05_ice_thickness_points,int,0,厚度探测,保存,0-3
VAR-G05-008,g05_weight_balance_ready,bool,false,配重完成,保存,无
VAR-G05-009,g05_safety_rope_ready,bool,false,安全绳固定,保存,无
VAR-G05-010,g05_safe_route_done,bool,false,UI-027完成,保存,权限条件
VAR-G05-011,g05_rail_installed,bool,false,滑轨完成,保存,无
VAR-G05-012,g05_expansion_margin,float,0,伸缩扣设置,保存,必须达阈值
VAR-G05-013,g05_bridge_balance,bool,false,配重横梁完成,保存,无
VAR-G05-014,g05_measure_trials,int,0,三次复测,保存,0-3
VAR-G05-015,g05_current_length,float,48.7,复测完成,保存,单位米
VAR-G05-016,g05_error_band,float,0.1,误差带完成,保存,单位米
VAR-G05-017,g05_recheck_minutes,int,3,复测钟设定,保存,单位分钟
VAR-G05-018,g05_permission_height,bool,false,高度节点,保存,管理员权限1
VAR-G05-019,g05_permission_capacity,bool,false,供水节点,保存,管理员权限2
VAR-G05-020,g05_permission_tolerance,bool,false,误差节点,保存,管理员权限3
VAR-G05-021,g05_permission_route,bool,false,路线节点,保存,管理员权限4
VAR-G05-022,g05_windcut_off,bool,false,控制器维修,保存,无
VAR-G05-023,g05_admin_unlocked,bool,false,权限解除,跨章保存,无
VAR-G05-024,g05_dynamic_report_valid,bool,false,报告台完成,跨章保存,必须包含三字段
VAR-G05-025,g05_resident_authorized,bool,false,居民许可,保存,管理员不可代替
VAR-G05-026,g05_world_change_checks,int,0,三项回访,保存,0-3
VAR-G05-027,g05_chapter_complete,bool,false,回访完成,跨章保存,解锁G06
VAR-G05-028,world_star_core_count,int,3,章节结算,跨章保存,完成后+1
VAR-G05-029,player_name,string,星宇,全项目固定,跨章保存,禁止写回小砾
