变量ID,变量名,类型,默认值,写入条件,持久性,约束
VAR-G11-001,g11_intro_done,bool,false,首场景完成,保存,无
VAR-G11-002,g11_mech_1_done,bool,false,三视图装配完成,保存,权限条件
VAR-G11-003,g11_mech_2_done,bool,false,空间装箱线完成,保存,权限条件
VAR-G11-004,g11_mech_3_done,bool,false,受力分散阵完成,保存,权限条件
VAR-G11-005,g11_mech_4_done,bool,false,关节避障序列完成,保存,权限条件
VAR-G11-006,g11_story_failure_seen,bool,false,剧情性失败发生,保存,必须发生
VAR-G11-007,g11_evidence_1,bool,false,取得或验证证据,保存,无
VAR-G11-008,g11_evidence_2,bool,false,取得或验证证据,保存,无
VAR-G11-009,g11_evidence_3,bool,false,取得或验证证据,保存,无
VAR-G11-010,g11_evidence_4,bool,false,取得或验证证据,保存,无
VAR-G11-011,g11_evidence_5,bool,false,取得或验证证据,保存,无
VAR-G11-012,g11_evidence_6,bool,false,取得或验证证据,保存,无
VAR-G11-013,g11_evidence_7,bool,false,取得或验证证据,保存,无
VAR-G11-014,g11_evidence_8,bool,false,取得或验证证据,保存,无
VAR-G11-015,g11_evidence_9,bool,false,取得或验证证据,保存,无
VAR-G11-016,g11_evidence_10,bool,false,取得或验证证据,保存,无
VAR-G11-017,g11_permission_1,bool,false,管理员权限节点完成,保存,权限1
VAR-G11-018,g11_permission_2,bool,false,管理员权限节点完成,保存,权限2
VAR-G11-019,g11_permission_3,bool,false,管理员权限节点完成,保存,权限3
VAR-G11-020,g11_permission_4,bool,false,管理员权限节点完成,保存,权限4
VAR-G11-021,g11_admin_unlocked,bool,false,管理员权限解除,跨章保存,无
VAR-G11-022,g11_world_change_checks,int,0,世界改变回访,保存,0-3
VAR-G11-023,g11_chapter_complete,bool,false,章节结算,跨章保存,解锁G12
VAR-G11-024,world_star_core_count,int,9,章节完成,跨章保存,完成后+1
VAR-G11-025,player_name,string,星宇,全项目固定,跨章保存,禁止写回小砾
VAR-G11-026,g11_hint_level,int,0,失败次数更新,临时+保存,0-3
VAR-G11-027,g11_last_safe_node,string,无,进入安全节点,保存,恢复位置
VAR-G11-028,g11_inventory_valid,bool,true,每次保存前校验,保存,关键物完整
VAR-G11-029,g11_ending_flag,string,未完成,章节结算,跨章保存,完成/分支
